Dependency=Federal Poverty Level	Dependency=Geometry Building Type RECS	Dependency=PUMA	Option=No	Option=Not Available	Option=Yes	source_count	source_weight	sampling_probability
400%+	Multi-Family with 2 - 4 Units	AK, 00102	0.896479	0	0.103521	85	3806	2.52724e-05
400%+	Multi-Family with 5+ Units	AK, 00102	0.848448	0	0.151552	64	3286	2.25499e-05
400%+	Single-Family Attached	AK, 00102	0.985285	0	0.0147154	112	4621	3.27705e-05
400%+	Single-Family Detached	AK, 00102	0.934272	0	0.0657277	587	23643	0.000168254
Not Available	Mobile Home	AK, 00102	0	1	0	218	261	1.91409e-06
Not Available	Multi-Family with 2 - 4 Units	AK, 00102	0	1	0	20	1522	1.11619e-05
Not Available	Multi-Family with 5+ Units	AK, 00102	0	1	0	24	1897	1.39121e-05
Not Available	Single-Family Attached	AK, 00102	0	1	0	82	335	2.45679e-06
Not Available	Single-Family Detached	AK, 00102	0	1	0	26	1873	1.37361e-05
0-100%	Mobile Home	AK, 00200	0.658228	0	0.341772	27	553	3.44167e-06
0-100%	Multi-Family with 2 - 4 Units	AK, 00200	0.931352	0	0.0686475	37	976	6.57225e-06
0-100%	Multi-Family with 5+ Units	AK, 00200	0.871212	0	0.128788	28	528	4.57571e-06
0-100%	Single-Family Attached	AK, 00200	0.934799	0	0.0652015	40	151	3.44429e-07
0-100%	Single-Family Detached	AK, 00200	0.895383	0	0.104617	186	3097	2.42545e-05
100-150%	Mobile Home	AK, 00200	0.702941	0	0.297059	15	340	2.19066e-06
100-150%	Multi-Family with 2 - 4 Units	AK, 00200	0.886544	0	0.113456	17	379	3.77013e-06
100-150%	Multi-Family with 5+ Units	AK, 00200	0.81962	0	0.18038	30	632	5.08272e-06
100-150%	Single-Family Attached	AK, 00200	0.974482	0	0.0255183	24	25	3.82177e-07
100-150%	Single-Family Detached	AK, 00200	0.868554	0	0.131446	158	2579	1.93417e-05
150-200%	Mobile Home	AK, 00200	0.987138	0	0.0128617	14	311	1.69085e-06
150-200%	Multi-Family with 2 - 4 Units	AK, 00200	0.987597	0	0.0124031	25	645	4.08497e-06
150-200%	Multi-Family with 5+ Units	AK, 00200	1	0	0	28	695	3.10113e-06
150-200%	Single-Family Attached	AK, 00200	0.978054	0	0.0219459	53	69	4.65762e-07
150-200%	Single-Family Detached	AK, 00200	0.855472	0	0.144528	157	2394	1.93697e-05
200-300%	Mobile Home	AK, 00200	1	0	0	14	154	2.96748e-06
200-300%	Multi-Family with 2 - 4 Units	AK, 00200	0.92145	0	0.0785498	35	662	6.09923e-06
200-300%	Multi-Family with 5+ Units	AK, 00200	1	0	0	23	493	3.80865e-06
200-300%	Single-Family Attached	AK, 00200	0.912875	0	0.0871252	86	65	1.25212e-06
200-300%	Single-Family Detached	AK, 00200	0.902435	0	0.097565	350	6078	4.4201e-05
300-400%	Mobile Home	AK, 00200	0.972332	0	0.027668	17	253	2.02238e-06
300-400%	Multi-Family with 2 - 4 Units	AK, 00200	0.891277	0	0.108723	30	791	4.60329e-06
300-400%	Multi-Family with 5+ Units	AK, 00200	1	0	0	13	150	1.97941e-06
300-400%	Single-Family Attached	AK, 00200	0.826461	0	0.173539	104	172	9.98111e-07
300-400%	Single-Family Detached	AK, 00200	0.921582	0	0.0784182	323	5968	4.3398e-05
400%+	Mobile Home	AK, 00200	0.984064	0	0.0159363	28	502	3.25609e-06
400%+	Multi-Family with 2 - 4 Units	AK, 00200	0.933943	0	0.0660569	51	984	7.56301e-06
400%+	Multi-Family with 5+ Units	AK, 00200	0.855573	0	0.144427	28	637	4.55178e-06
400%+	Single-Family Attached	AK, 00200	0.829787	0	0.170213	18	282	2.18671e-06
400%+	Single-Family Detached	AK, 00200	0.939236	0	0.0607638	1189	22283	0.000161841
Not Available	Mobile Home	AK, 00200	0	1	0	57	1039	7.65562e-06
Not Available	Multi-Family with 2 - 4 Units	AK, 00200	0	1	0	62	1150	8.47348e-06
Not Available	Multi-Family with 5+ Units	AK, 00200	0	1	0	30	431	3.17572e-06
Not Available	Single-Family Attached	AK, 00200	0	1	0	18	362	2.66729e-06
Not Available	Single-Family Detached	AK, 00200	0	1	0	1191	17234	0.000126984
0-100%	Mobile Home	AK, 00300	0.791925	0	0.208075	67	162	2.84253e-06
0-100%	Multi-Family with 2 - 4 Units	AK, 00300	0.784062	0	0.215938	16	389	3.2379e-06
0-100%	Multi-Family with 5+ Units	AK, 00300	0.651961	0	0.348039	35	1020	8.66717e-06
0-100%	Single-Family Attached	AK, 00300	0.934799	0	0.0652015	40	107	1.85259e-06
0-100%	Single-Family Detached	AK, 00300	0.858423	0	0.141577	54	1116	1.36118e-05
100-150%	Mobile Home	AK, 00300	0.858736	0	0.141264	10	269	3.67381e-06
100-150%	Multi-Family with 2 - 4 Units	AK, 00300	0.834094	0	0.165906	23	657	4.02115e-06
100-150%	Multi-Family with 5+ Units	AK, 00300	0.929669	0	0.0703314	43	1237	6.64919e-06
100-150%	Single-Family Attached	AK, 00300	0.974482	0	0.0255183	24	206	2.26345e-06
100-150%	Single-Family Detached	AK, 00300	0.86071	0	0.13929	71	2563	1.42803e-05
150-200%	Mobile Home	AK, 00300	0.743182	0	0.256818	14	880	3.0151e-06
150-200%	Multi-Family with 2 - 4 Units	AK, 00300	0.905405	0	0.0945946	17	518	5.35825e-06
150-200%	Multi-Family with 5+ Units	AK, 00300	0.713299	0	0.286701	31	579	5.54917e-06
150-200%	Single-Family Attached	AK, 00300	0.989858	0	0.010142	16	493	2.69332e-06
150-200%	Single-Family Detached	AK, 00300	0.744635	0	0.255365	65	1864	1.47868e-05
200-300%	Mobile Home	AK, 00300	0.672131	0	0.327869	19	610	5.4341e-06
200-300%	Multi-Family with 2 - 4 Units	AK, 00300	0.805473	0	0.194527	54	2010	1.13818e-05
200-300%	Multi-Family with 5+ Units	AK, 00300	0.912309	0	0.0876911	47	1243	9.03517e-06
200-300%	Single-Family Attached	AK, 00300	0.907621	0	0.0923788	26	866	6.4406e-06
200-300%	Single-Family Detached	AK, 00300	0.785283	0	0.214717	141	4974	3.26276e-05
300-400%	Mobile Home	AK, 00300	0.829478	0	0.170522	61	486	4.60707e-06
300-400%	Multi-Family with 2 - 4 Units	AK, 00300	0.928962	0	0.0710383	39	1098	9.31671e-06
300-400%	Multi-Family with 5+ Units	AK, 00300	0.790719	0	0.209281	37	1099	7.34405e-06
300-400%	Single-Family Attached	AK, 00300	0.944601	0	0.0553991	33	1065	5.78466e-06
300-400%	Single-Family Detached	AK, 00300	0.940567	0	0.0594329	145	3668	3.4958e-05
400%+	Mobile Home	AK, 00300	0.866193	0	0.133807	39	1689	9.79805e-06
400%+	Multi-Family with 2 - 4 Units	AK, 00300	0.977213	0	0.022787	123	3423	2.47299e-05
400%+	Multi-Family with 5+ Units	AK, 00300	0.898872	0	0.101128	118	2660	1.89581e-05
400%+	Single-Family Attached	AK, 00300	0.954602	0	0.0453983	90	2423	1.79655e-05
400%+	Single-Family Detached	AK, 00300	0.936381	0	0.0636192	693	22226	0.000150823
Not Available	Mobile Home	AK, 00300	0	1	0	73	1199	8.59751e-06
Not Available	Multi-Family with 2 - 4 Units	AK, 00300	0	1	0	89	1964	1.4083e-05
Not Available	Multi-Family with 5+ Units	AK, 00300	0	1	0	102	1811	1.29859e-05
Not Available	Single-Family Attached	AK, 00300	0	1	0	11	361	2.58858e-06
Not Available	Single-Family Detached	AK, 00300	0	1	0	581	11263	8.07621e-05
0-100%	Mobile Home	AK, 00400	0.548837	0	0.451163	20	215	1.69233e-06
0-100%	Multi-Family with 2 - 4 Units	AK, 00400	0.300613	0	0.699387	21	163	1.19747e-06
0-100%	Multi-Family with 5+ Units	AK, 00400	0.636111	0	0.363889	36	360	2.92603e-06
0-100%	Single-Family Attached	AK, 00400	0.934799	0	0.0652015	40	31	4.6121e-07
0-100%	Single-Family Detached	AK, 00400	0.0802109	0	0.919789	577	3603	2.06319e-05
100-150%	Mobile Home	AK, 00400	0.509259	0	0.490741	12	108	1.43289e-06
100-150%	Multi-Family with 2 - 4 Units	AK, 00400	0.812834	0	0.187166	15	187	1.50288e-06
100-150%	Multi-Family with 5+ Units	AK, 00400	0.674667	0	0.325333	32	375	2.509e-06
100-150%	Single-Family Attached	AK, 00400	0.974482	0	0.0255183	24	29	3.37318e-07
100-150%	Single-Family Detached	AK, 00400	0.108118	0	0.891882	421	2636	1.54771e-05
150-200%	Mobile Home	AK, 00400	0.532	0	0.468	16	250	1.37254e-06
150-200%	Multi-Family with 2 - 4 Units	AK, 00400	0.742222	0	0.257778	22	225	1.3751e-06
150-200%	Multi-Family with 5+ Units	AK, 00400	0.388514	0	0.611486	29	296	1.80326e-06
150-200%	Single-Family Attached	AK, 00400	0.978054	0	0.0219459	53	37	3.32663e-07
150-200%	Single-Family Detached	AK, 00400	0.132032	0	0.867968	344	2151	1.51168e-05
200-300%	Mobile Home	AK, 00400	0.691558	0	0.308442	30	308	2.40237e-06
200-300%	Multi-Family with 2 - 4 Units	AK, 00400	0.866324	0	0.133676	44	389	3.29584e-06
200-300%	Multi-Family with 5+ Units	AK, 00400	0.29304	0	0.70696	32	273	2.13447e-06
200-300%	Single-Family Attached	AK, 00400	0.912875	0	0.0871252	86	64	9.12919e-07
200-300%	Single-Family Detached	AK, 00400	0.311105	0	0.688895	530	3944	2.89044e-05
300-400%	Mobile Home	AK, 00400	0.829694	0	0.170306	22	229	2.00816e-06
300-400%	Multi-Family with 2 - 4 Units	AK, 00400	0.482105	0	0.517895	38	475	3.93246e-06
300-400%	Multi-Family with 5+ Units	AK, 00400	0.68	0	0.32	42	475	2.30632e-06
300-400%	Single-Family Attached	AK, 00400	0.826461	0	0.173539	104	141	9.65241e-07
300-400%	Single-Family Detached	AK, 00400	0.459034	0	0.540966	340	2734	2.41539e-05
400%+	Mobile Home	AK, 00400	0.832011	0	0.167989	58	756	4.76099e-06
400%+	Multi-Family with 2 - 4 Units	AK, 00400	0.861464	0	0.138536	150	1653	1.13465e-05
400%+	Multi-Family with 5+ Units	AK, 00400	0.868304	0	0.131696	93	896	7.91648e-06
400%+	Single-Family Attached	AK, 00400	0.896707	0	0.103293	46	668	4.09633e-06
400%+	Single-Family Detached	AK, 00400	0.616468	0	0.383532	946	8659	6.95265e-05
Not Available	Mobile Home	AK, 00400	0	1	0	84	660	4.83481e-06
Not Available	Multi-Family with 2 - 4 Units	AK, 00400	0	1	0	216	1496	1.09589e-05
Not Available	Multi-Family with 5+ Units	AK, 00400	0	1	0	112	894	6.54894e-06
Not Available	Single-Family Attached	AK, 00400	0	1	0	42	298	2.18299e-06
Not Available	Single-Family Detached	AK, 00400	0	1	0	1690	12581	9.21615e-05
0-100%	Mobile Home	AL, 00100	1	0	0	87	1879	1.31092e-05
0-100%	Multi-Family with 2 - 4 Units	AL, 00100	1	0	0	78	1582	1.23002e-05
0-100%	Multi-Family with 5+ Units	AL, 00100	1	0	0	80	1997	1.20159e-05
0-100%	Single-Family Attached	AL, 00100	1	0	0	254	82	6.5814e-07
0-100%	Single-Family Detached	AL, 00100	0.996929	0	0.00307115	315	5861	5.05667e-05
100-150%	Mobile Home	AL, 00100	0.97615	0	0.0238501	60	1174	9.84841e-06
100-150%	Multi-Family with 2 - 4 Units	AL, 00100	0.974453	0	0.0255474	48	822	5.63328e-06
100-150%	Multi-Family with 5+ Units	AL, 00100	1	0	0	43	1033	9.1041e-06
100-150%	Single-Family Attached	AL, 00100	1	0	0	142	33	4.40743e-07
100-150%	Single-Family Detached	AL, 00100	0.97863	0	0.0213696	329	6177	4.56108e-05
150-200%	Mobile Home	AL, 00100	0.9814	0	0.0185996	51	914	7.30629e-06
150-200%	Multi-Family with 2 - 4 Units	AL, 00100	1	0	0	20	364	3.35147e-06
150-200%	Multi-Family with 5+ Units	AL, 00100	1	0	0	41	1196	8.18638e-06
150-200%	Single-Family Attached	AL, 00100	0.993571	0	0.0064288	183	67	3.7727e-07
150-200%	Single-Family Detached	AL, 00100	0.996284	0	0.00371616	331	5651	4.14349e-05
200-300%	Mobile Home	AL, 00100	0.965054	0	0.0349462	87	1860	1.10605e-05
200-300%	Multi-Family with 2 - 4 Units	AL, 00100	1	0	0	26	603	4.19766e-06
200-300%	Multi-Family with 5+ Units	AL, 00100	1	0	0	35	896	8.39279e-06
200-300%	Single-Family Attached	AL, 00100	0.993042	0	0.00695807	292	74	6.21424e-07
200-300%	Single-Family Detached	AL, 00100	0.995174	0	0.00482635	577	10567	7.8687e-05
300-400%	Mobile Home	AL, 00100	1	0	0	46	890	7.35618e-06
300-400%	Multi-Family with 2 - 4 Units	AL, 00100	1	0	0	18	410	2.19682e-06
300-400%	Multi-Family with 5+ Units	AL, 00100	1	0	0	16	367	4.02833e-06
300-400%	Single-Family Attached	AL, 00100	0.993856	0	0.00614439	232	68	4.2204e-07
300-400%	Single-Family Detached	AL, 00100	0.993667	0	0.00633269	472	8843	6.23603e-05
400%+	Mobile Home	AL, 00100	1	0	0	47	958	7.64973e-06
400%+	Multi-Family with 2 - 4 Units	AL, 00100	1	0	0	13	331	2.50027e-06
400%+	Multi-Family with 5+ Units	AL, 00100	1	0	0	29	864	4.89983e-06
400%+	Single-Family Attached	AL, 00100	0.991407	0	0.0085934	615	140	8.8588e-07
400%+	Single-Family Detached	AL, 00100	0.993612	0	0.00638808	991	18785	0.000131497
Not Available	Mobile Home	AL, 00100	0	1	0	90	2525	1.85321e-05
Not Available	Multi-Family with 2 - 4 Units	AL, 00100	0	1	0	31	917	6.73024e-06
Not Available	Multi-Family with 5+ Units	AL, 00100	0	1	0	39	1705	1.25137e-05
Not Available	Single-Family Attached	AL, 00100	0	1	0	136	0	0
Not Available	Single-Family Detached	AL, 00100	0	1	0	322	9734	7.14418e-05
0-100%	Mobile Home	AL, 00200	0.985474	0	0.0145264	55	1721	1.17626e-05
0-100%	Multi-Family with 2 - 4 Units	AL, 00200	1	0	0	16	247	2.59161e-06
0-100%	Multi-Family with 5+ Units	AL, 00200	0.980519	0	0.0194805	31	616	4.35496e-06
0-100%	Single-Family Attached	AL, 00200	1	0	0	254	88	6.00494e-07
0-100%	Single-Family Detached	AL, 00200	0.966127	0	0.033873	157	4015	2.9493e-05
100-150%	Mobile Home	AL, 00200	0.990421	0	0.00957854	39	1044	9.7712e-06
100-150%	Multi-Family with 2 - 4 Units	AL, 00200	1	0	0	10	298	1.68589e-06
100-150%	Multi-Family with 5+ Units	AL, 00200	1	0	0	15	429	2.86528e-06
100-150%	Single-Family Attached	AL, 00200	1	0	0	142	141	4.86891e-07
100-150%	Single-Family Detached	AL, 00200	0.998387	0	0.0016129	129	3100	2.462e-05
150-200%	Mobile Home	AL, 00200	1	0	0	41	1302	7.52722e-06
150-200%	Multi-Family with 2 - 4 Units	AL, 00200	0.995443	0	0.0045568	465	89	1.11705e-06
150-200%	Multi-Family with 5+ Units	AL, 00200	0.96882	0	0.0311804	15	449	2.76134e-06
150-200%	Single-Family Attached	AL, 00200	0.993571	0	0.0064288	183	26	8.4677e-07
150-200%	Single-Family Detached	AL, 00200	0.983615	0	0.0163849	160	3845	2.71565e-05
200-300%	Mobile Home	AL, 00200	0.976488	0	0.0235121	52	1361	1.03823e-05
200-300%	Multi-Family with 2 - 4 Units	AL, 00200	1	0	0	13	404	1.82509e-06
200-300%	Multi-Family with 5+ Units	AL, 00200	1	0	0	22	769	4.56736e-06
200-300%	Single-Family Attached	AL, 00200	0.993042	0	0.00695807	292	181	9.20974e-07
200-300%	Single-Family Detached	AL, 00200	0.98492	0	0.0150802	346	8289	6.14672e-05
300-400%	Mobile Home	AL, 00200	0.979904	0	0.0200957	32	1045	6.19995e-06
300-400%	Multi-Family with 2 - 4 Units	AL, 00200	0.995289	0	0.00471143	324	189	9.67715e-07
300-400%	Multi-Family with 5+ Units	AL, 00200	0.991611	0	0.00838885	759	336	3.03547e-06
300-400%	Single-Family Attached	AL, 00200	0.993856	0	0.00614439	232	59	5.5646e-07
300-400%	Single-Family Detached	AL, 00200	0.979037	0	0.0209634	355	8491	6.17349e-05
400%+	Mobile Home	AL, 00200	1	0	0	35	852	6.7343e-06
400%+	Multi-Family with 2 - 4 Units	AL, 00200	0.99441	0	0.00559043	447	135	1.55167e-06
400%+	Multi-Family with 5+ Units	AL, 00200	1	0	0	18	756	6.40554e-06
400%+	Single-Family Attached	AL, 00200	1	0	0	13	190	1.48652e-06
400%+	Single-Family Detached	AL, 00200	0.988807	0	0.0111929	1142	30019	0.000208535
Not Available	Mobile Home	AL, 00200	0	1	0	30	1355	9.68895e-06
Not Available	Multi-Family with 2 - 4 Units	AL, 00200	0	1	0	781	348	2.48839e-06
Not Available	Multi-Family with 5+ Units	AL, 00200	0	1	0	1736	299	2.138e-06
Not Available	Single-Family Attached	AL, 00200	0	1	0	136	232	1.65892e-06
Not Available	Single-Family Detached	AL, 00200	0	1	0	105	4728	3.38076e-05
0-100%	Mobile Home	AL, 00301	0.993055	0	0.00694541	2739	96	1.14017e-06
0-100%	Multi-Family with 2 - 4 Units	AL, 00301	1	0	0	11	502	4.96089e-06
0-100%	Multi-Family with 5+ Units	AL, 00301	1	0	0	59	2059	1.6166e-05
0-100%	Single-Family Attached	AL, 00301	1	0	0	254	77	8.44321e-07
0-100%	Single-Family Detached	AL, 00301	1	0	0	127	2851	1.94001e-05
100-150%	Mobile Home	AL, 00301	0.988993	0	0.0110071	1977	184	9.26228e-07
100-150%	Multi-Family with 2 - 4 Units	AL, 00301	1	0	0	16	422	3.41649e-06
100-150%	Multi-Family with 5+ Units	AL, 00301	1	0	0	42	1625	1.03221e-05
100-150%	Single-Family Attached	AL, 00301	1	0	0	142	134	5.81057e-07
100-150%	Single-Family Detached	AL, 00301	1	0	0	103	2105	1.5809e-05
150-200%	Mobile Home	AL, 00301	0.986754	0	0.0132458	1726	257	8.91196e-07
150-200%	Multi-Family with 2 - 4 Units	AL, 00301	1	0	0	13	464	2.93777e-06
150-200%	Multi-Family with 5+ Units	AL, 00301	1	0	0	36	1383	8.34357e-06
150-200%	Single-Family Attached	AL, 00301	0.993571	0	0.0064288	183	81	7.3652e-07
150-200%	Single-Family Detached	AL, 00301	1	0	0	115	2300	1.63548e-05
200-300%	Mobile Home	AL, 00301	0.988233	0	0.0117665	2403	120	1.35197e-06
200-300%	Multi-Family with 2 - 4 Units	AL, 00301	0.986028	0	0.0139721	15	501	4.62133e-06
200-300%	Multi-Family with 5+ Units	AL, 00301	1	0	0	63	1994	1.49707e-05
200-300%	Single-Family Attached	AL, 00301	0.993042	0	0.00695807	292	148	1.49474e-06
200-300%	Single-Family Detached	AL, 00301	1	0	0	229	4743	3.69365e-05
300-400%	Mobile Home	AL, 00301	0.993694	0	0.0063058	1517	132	8.73498e-07
300-400%	Multi-Family with 2 - 4 Units	AL, 00301	1	0	0	11	532	2.51538e-06
300-400%	Multi-Family with 5+ Units	AL, 00301	1	0	0	30	1170	1.12581e-05
300-400%	Single-Family Attached	AL, 00301	1	0	0	11	240	1.24117e-06
300-400%	Single-Family Detached	AL, 00301	0.990976	0	0.00902398	208	4211	3.61283e-05
400%+	Mobile Home	AL, 00301	0.987568	0	0.0124319	1690	180	1.67247e-06
400%+	Multi-Family with 2 - 4 Units	AL, 00301	1	0	0	17	491	2.15e-06
400%+	Multi-Family with 5+ Units	AL, 00301	1	0	0	109	4043	2.57759e-05
400%+	Single-Family Attached	AL, 00301	1	0	0	18	470	3.23824e-06
400%+	Single-Family Detached	AL, 00301	0.989826	0	0.0101735	839	20052	0.000131918
Not Available	Mobile Home	AL, 00301	0	1	0	2646	60	4.2449e-07
Not Available	Multi-Family with 2 - 4 Units	AL, 00301	0	1	0	11	482	3.41005e-06
Not Available	Multi-Family with 5+ Units	AL, 00301	0	1	0	34	1703	1.20484e-05
Not Available	Single-Family Attached	AL, 00301	0	1	0	136	28	1.98095e-07
Not Available	Single-Family Detached	AL, 00301	0	1	0	69	2258	1.59749e-05
0-100%	Mobile Home	AL, 00302	0.993055	0	0.00694541	2739	166	2.00995e-06
0-100%	Multi-Family with 2 - 4 Units	AL, 00302	1	0	0	73	2047	1.45978e-05
0-100%	Multi-Family with 5+ Units	AL, 00302	1	0	0	99	2460	1.74544e-05
0-100%	Single-Family Attached	AL, 00302	1	0	0	11	184	9.58589e-07
0-100%	Single-Family Detached	AL, 00302	0.996575	0	0.00342466	109	2336	1.90677e-05
100-150%	Mobile Home	AL, 00302	0.988993	0	0.0110071	1977	224	1.10034e-06
100-150%	Multi-Family with 2 - 4 Units	AL, 00302	1	0	0	26	651	5.12899e-06
100-150%	Multi-Family with 5+ Units	AL, 00302	1	0	0	50	1142	1.06848e-05
100-150%	Single-Family Attached	AL, 00302	1	0	0	142	7	3.75093e-07
100-150%	Single-Family Detached	AL, 00302	1	0	0	96	1930	1.5794e-05
150-200%	Mobile Home	AL, 00302	0.986754	0	0.0132458	1726	105	6.59006e-07
150-200%	Multi-Family with 2 - 4 Units	AL, 00302	1	0	0	18	394	3.19557e-06
150-200%	Multi-Family with 5+ Units	AL, 00302	1	0	0	37	935	7.7982e-06
150-200%	Single-Family Attached	AL, 00302	0.993571	0	0.0064288	183	85	3.60431e-07
150-200%	Single-Family Detached	AL, 00302	1	0	0	86	1641	1.49124e-05
200-300%	Mobile Home	AL, 00302	0.988233	0	0.0117665	2403	86	7.71803e-07
200-300%	Multi-Family with 2 - 4 Units	AL, 00302	1	0	0	26	629	4.27468e-06
200-300%	Multi-Family with 5+ Units	AL, 00302	1	0	0	75	2030	1.24944e-05
200-300%	Single-Family Attached	AL, 00302	0.993042	0	0.00695807	292	136	1.00646e-06
200-300%	Single-Family Detached	AL, 00302	0.976166	0	0.0238337	216	3944	3.00105e-05
300-400%	Mobile Home	AL, 00302	0.993694	0	0.0063058	1517	8	4.18325e-07
300-400%	Multi-Family with 2 - 4 Units	AL, 00302	1	0	0	10	256	1.897e-06
300-400%	Multi-Family with 5+ Units	AL, 00302	1	0	0	45	1084	7.50122e-06
