Dependency=Federal Poverty Level	Dependency=Geometry Building Type RECS	Dependency=State	Dependency=Tenure	Dependency=Vintage	Option=None	Option=Yes	Option=Void	source_count	source_weight	sampling_probability
0-100%	Mobile Home	AL	Renter	1940s	0.0815983	0.918402	0	4.63389	1.40335e-18	6.46851e-07
0-100%	Mobile Home	AL	Renter	1950s	0.105272	0.894728	0	2.68104	312.321	8.79792e-07
0-100%	Mobile Home	AL	Renter	1960s	0.0554946	0.944505	0	4.00501	108.877	4.87378e-06
0-100%	Mobile Home	AL	Renter	1970s	0.254888	0.745112	0	0.695084	694.348	2.34098e-05
0-100%	Mobile Home	AL	Renter	1980s	0.139175	0.860825	0	0.562687	365.155	4.0921e-05
0-100%	Mobile Home	AL	Renter	1990s	0.236724	0.763276	0	0.330992	1132.17	6.88175e-05
0-100%	Mobile Home	AL	Renter	2000s	0	1	0	0.992977	751.117	2.87954e-05
0-100%	Mobile Home	AL	Renter	2010s	0.50846	0.49154	0	0.397191	221.162	9.21535e-06
0-100%	Mobile Home	AL	Renter	<1940	0.0815983	0.918402	0	4.63389	1.40335e-18	4.32841e-07
0-100%	Mobile Home	AR	Not Available	1940s	0	0	1	19.149	4.65553e-18	0
0-100%	Mobile Home	AR	Not Available	1950s	0	0	1	18.2072	4.65553e-18	0
0-100%	Mobile Home	AR	Not Available	1960s	0	0	1	23.7008	221.829	0
0-100%	Mobile Home	AR	Not Available	1970s	0	0	1	2.82526	1073.71	0
0-100%	Mobile Home	AR	Not Available	1980s	0	0	1	4.70877	1345.98	0
0-100%	Mobile Home	AR	Not Available	1990s	0	0	1	5.17964	1402.04	0
0-100%	Mobile Home	AR	Not Available	2000s	0	0	1	4.23789	1121.22	0
0-100%	Mobile Home	AR	Not Available	2010s	0	0	1	3.29614	529.083	0
0-100%	Mobile Home	AR	Not Available	<1940	0	0	1	19.149	4.65553e-18	0
0-100%	Mobile Home	AR	Owner	1940s	0.0888127	0.911187	0	2.626	1.96992e-19	5.86701e-07
0-100%	Mobile Home	AR	Owner	1950s	0.0862365	0.913763	0	2.49685	1.96992e-19	1.14835e-06
0-100%	Mobile Home	AR	Owner	1960s	0.085654	0.914346	0	3.25021	9.38638	6.64211e-06
0-100%	Mobile Home	AR	Owner	1970s	0.201559	0.798441	0	0.387442	45.4325	2.55946e-05
0-100%	Mobile Home	AR	Owner	1980s	0.115765	0.884235	0	0.645737	56.9534	2.43022e-05
0-100%	Mobile Home	AR	Owner	1990s	0.165409	0.834591	0	0.710311	59.3253	3.75281e-05
0-100%	Mobile Home	AR	Owner	2000s	0	1	0	0.581163	47.4429	1.79242e-05
0-100%	Mobile Home	AR	Owner	2010s	0.101265	0.898735	0	0.452016	22.3874	5.32452e-06
0-100%	Mobile Home	AR	Owner	<1940	0.0888127	0.911187	0	2.626	1.96992e-19	1.00011e-06
0-100%	Mobile Home	AR	Renter	1940s	0.13116	0.86884	0	5.07	2.93721e-18	2.96667e-07
0-100%	Mobile Home	AR	Renter	1950s	0.127528	0.872472	0	4.82065	2.93721e-18	6.32195e-07
0-100%	Mobile Home	AR	Renter	1960s	0.126705	0.873295	0	6.27516	139.954	3.6118e-06
0-100%	Mobile Home	AR	Renter	1970s	0.281083	0.718917	0	0.748032	677.412	1.46275e-05
0-100%	Mobile Home	AR	Renter	1980s	0.168586	0.831414	0	1.24672	849.192	1.79523e-05
0-100%	Mobile Home	AR	Renter	1990s	0.234865	0.765135	0	1.37139	884.558	2.83587e-05
0-100%	Mobile Home	AR	Renter	2000s	0	1	0	1.12205	707.388	1.67638e-05
0-100%	Mobile Home	AR	Renter	2010s	0.148581	0.851419	0	0.872704	333.803	4.35822e-06
0-100%	Mobile Home	AR	Renter	<1940	0.13116	0.86884	0	5.07	2.93721e-18	6.21322e-07
0-100%	Mobile Home	AZ	Not Available	1940s	0	0	1	1.06554	4.86884e-18	0
0-100%	Mobile Home	AZ	Not Available	1950s	0	0	1	1.49964	430.204	0
0-100%	Mobile Home	AZ	Not Available	1960s	0	0	1	2.28893	1231.36	0
0-100%	Mobile Home	AZ	Not Available	1970s	0	0	1	0.473571	1892.61	0
0-100%	Mobile Home	AZ	Not Available	1980s	0	0	1	0.434107	3698.18	0
0-100%	Mobile Home	AZ	Not Available	1990s	0	0	1	0.710357	2092.26	0
0-100%	Mobile Home	AZ	Not Available	2000s	0	0	1	0.394643	1267.2	0
0-100%	Mobile Home	AZ	Not Available	2010s	0	0	1	3.78857	1079.4	0
0-100%	Mobile Home	AZ	Not Available	<1940	0	0	1	1.06554	4.86884e-18	0
0-100%	Mobile Home	AZ	Owner	1940s	0.105109	0.894891	0	1.32244	2.44889e-18	7.15576e-07
0-100%	Mobile Home	AZ	Owner	1950s	0.0393592	0.960641	0	1.86122	216.38	4.60734e-06
0-100%	Mobile Home	AZ	Owner	1960s	0.0981034	0.901897	0	2.84081	619.338	2.06814e-05
0-100%	Mobile Home	AZ	Owner	1970s	0.18018	0.81982	0	0.587753	951.929	6.85187e-05
0-100%	Mobile Home	AZ	Owner	1980s	0.0868726	0.913127	0	0.538774	1860.08	5.55435e-05
0-100%	Mobile Home	AZ	Owner	1990s	0	1	0	0.88163	1052.35	5.53509e-05
0-100%	Mobile Home	AZ	Owner	2000s	0.142509	0.857491	0	0.489794	637.364	2.58979e-05
0-100%	Mobile Home	AZ	Owner	2010s	0.00884896	0.991151	0	4.70203	542.908	6.77148e-06
0-100%	Mobile Home	AZ	Owner	<1940	0.105109	0.894891	0	1.32244	2.44889e-18	1.37593e-06
0-100%	Mobile Home	AZ	Renter	1940s	0.225654	0.774346	0	0.697169	4.11719e-19	3.89849e-07
0-100%	Mobile Home	AZ	Renter	1950s	0.0922736	0.907726	0	0.981201	36.3789	2.53583e-06
0-100%	Mobile Home	AZ	Renter	1960s	0.212522	0.787478	0	1.49762	104.126	9.57698e-06
0-100%	Mobile Home	AZ	Renter	1970s	0.352871	0.647129	0	0.309853	160.043	2.83111e-05
0-100%	Mobile Home	AZ	Renter	1980s	0.190966	0.809034	0	0.284032	312.726	2.54063e-05
0-100%	Mobile Home	AZ	Renter	1990s	0	1	0	0.464779	176.925	2.58897e-05
0-100%	Mobile Home	AZ	Renter	2000s	0.291952	0.708048	0	0.258211	107.157	1.61025e-05
0-100%	Mobile Home	AZ	Renter	2010s	0.0216708	0.978329	0	2.47882	91.2764	4.16494e-06
0-100%	Mobile Home	AZ	Renter	<1940	0.225654	0.774346	0	0.697169	4.11719e-19	7.35232e-07
0-100%	Mobile Home	CA	Not Available	1940s	0	0	1	3.25548	2.78865e-18	0
0-100%	Mobile Home	CA	Not Available	1950s	0	0	1	3.1374	2.78865e-18	0
0-100%	Mobile Home	CA	Not Available	1960s	0	0	1	0.168678	1845.11	0
0-100%	Mobile Home	CA	Not Available	1970s	0	0	1	0.320487	6281.01	0
0-100%	Mobile Home	CA	Not Available	1980s	0	0	1	0.236149	3264.93	0
0-100%	Mobile Home	CA	Not Available	1990s	0	0	1	0.320487	335.119	0
0-100%	Mobile Home	CA	Not Available	2000s	0	0	1	0.168678	820.628	0
0-100%	Mobile Home	CA	Not Available	2010s	0	0	1	1.70364	242.24	0
0-100%	Mobile Home	CA	Not Available	<1940	0	0	1	3.25548	2.78865e-18	0
0-100%	Mobile Home	CA	Owner	1940s	0.0569931	0.943007	0	4.62272	1.55759e-18	4.83497e-06
0-100%	Mobile Home	CA	Owner	1950s	0.0163482	0.983652	0	4.45506	1.55759e-18	1.79175e-05
0-100%	Mobile Home	CA	Owner	1960s	0.226145	0.773855	0	0.239519	1030.58	4.81393e-05
0-100%	Mobile Home	CA	Owner	1970s	0.0667452	0.933255	0	0.455086	3508.23	0.000147486
0-100%	Mobile Home	CA	Owner	1980s	0.0645453	0.935455	0	0.335327	1823.61	6.73853e-05
0-100%	Mobile Home	CA	Owner	1990s	0.118027	0.881973	0	0.455086	187.179	4.09167e-05
0-100%	Mobile Home	CA	Owner	2000s	0.189851	0.810149	0	0.239519	458.358	3.77953e-05
0-100%	Mobile Home	CA	Owner	2010s	0.0222806	0.977719	0	2.41914	135.302	8.00511e-06
0-100%	Mobile Home	CA	Owner	<1940	0.0569931	0.943007	0	4.62272	1.55759e-18	3.17372e-06
0-100%	Mobile Home	CA	Renter	1940s	0.10102	0.89898	0	4.27682	1.77992e-19	3.50418e-06
0-100%	Mobile Home	CA	Renter	1950s	0.0299749	0.970025	0	4.12171	1.77992e-19	1.12949e-05
0-100%	Mobile Home	CA	Renter	1960s	0.352057	0.647943	0	0.221597	117.768	3.23917e-05
0-100%	Mobile Home	CA	Renter	1970s	0.117367	0.882633	0	0.421034	400.9	9.34196e-05
0-100%	Mobile Home	CA	Renter	1980s	0.113702	0.886298	0	0.310236	208.392	4.99598e-05
0-100%	Mobile Home	CA	Renter	1990s	0.19924	0.80076	0	0.421034	21.3897	2.96661e-05
0-100%	Mobile Home	CA	Renter	2000s	0.30348	0.69652	0	0.221597	52.3785	2.89404e-05
0-100%	Mobile Home	CA	Renter	2010s	0.0406479	0.959352	0	2.23813	15.4615	5.67666e-06
0-100%	Mobile Home	CA	Renter	<1940	0.10102	0.89898	0	4.27682	1.77992e-19	3.39262e-06
0-100%	Mobile Home	CO	Not Available	1940s	0	0	1	9.23994	2.37019e-18	0
0-100%	Mobile Home	CO	Not Available	1950s	0	0	1	4.93319	2.37019e-18	0
0-100%	Mobile Home	CO	Not Available	1960s	0	0	1	7.12571	2.37019e-18	0
0-100%	Mobile Home	CO	Not Available	1970s	0	0	1	2.03592	880.758	0
0-100%	Mobile Home	CO	Not Available	1980s	0	0	1	1.09626	385.679	0
0-100%	Mobile Home	CO	Not Available	1990s	0	0	1	1.6444	605.219	0
0-100%	Mobile Home	CO	Not Available	2000s	0	0	1	0.783045	473.347	0
0-100%	Mobile Home	CO	Not Available	2010s	0	0	1	9.39655	160.081	0
0-100%	Mobile Home	CO	Not Available	<1940	0	0	1	9.23994	2.37019e-18	0
0-100%	Mobile Home	CO	Owner	1940s	0.0346254	0.965375	0	4.45993	1.39293e-18	5.45348e-07
0-100%	Mobile Home	CO	Owner	1950s	0.0455343	0.954466	0	2.38115	1.39293e-18	1.77741e-06
0-100%	Mobile Home	CO	Owner	1960s	0.0685705	0.931429	0	3.43944	1.39293e-18	6.80654e-06
0-100%	Mobile Home	CO	Owner	1970s	0.0956535	0.904347	0	0.982696	517.612	2.74993e-05
0-100%	Mobile Home	CO	Owner	1980s	0	1	0	0.529144	226.659	1.23804e-05
0-100%	Mobile Home	CO	Owner	1990s	0.108042	0.891958	0	0.793716	355.68	1.58421e-05
0-100%	Mobile Home	CO	Owner	2000s	0.262296	0.737704	0	0.37796	278.181	5.88037e-06
0-100%	Mobile Home	CO	Owner	2010s	0.00299517	0.997005	0	4.53552	94.0778	3.6334e-06
0-100%	Mobile Home	CO	Owner	<1940	0.0346254	0.965375	0	4.45993	1.39293e-18	1.03274e-06
0-100%	Mobile Home	CO	Renter	1940s	0	1	0	0.798712	1.29108e-19	2.86527e-07
0-100%	Mobile Home	CO	Renter	1950s	0	1	0	0.426431	1.29108e-19	1.172e-06
0-100%	Mobile Home	CO	Renter	1960s	0	1	0	0.615956	1.29108e-19	3.66158e-06
0-100%	Mobile Home	CO	Renter	1970s	0	1	0	0.175987	47.9763	1.62243e-05
0-100%	Mobile Home	CO	Renter	1980s	0	1	0	0.0947625	21.0085	7.39384e-06
0-100%	Mobile Home	CO	Renter	1990s	0	1	0	0.142144	32.9672	9.90284e-06
0-100%	Mobile Home	CO	Renter	2000s	0	1	0	0.0676875	25.784	5.47393e-06
0-100%	Mobile Home	CO	Renter	2010s	0	1	0	0.81225	8.71987	1.98697e-06
0-100%	Mobile Home	CO	Renter	<1940	0	1	0	0.798712	1.29108e-19	8.34938e-07
0-100%	Mobile Home	CT	Not Available	1940s	0	0	1	9.72108e-20	1.16069e-57	0
0-100%	Mobile Home	CT	Not Available	1950s	0	0	1	4.4818e-20	1.16069e-57	0
0-100%	Mobile Home	CT	Not Available	1960s	0	0	1	3.66119e-20	1.16069e-57	0
0-100%	Mobile Home	CT	Not Available	1970s	0	0	1	4.73429e-21	1.16069e-57	0
0-100%	Mobile Home	CT	Not Available	1980s	0	0	1	3.15619e-21	7.03557e-38	0
0-100%	Mobile Home	CT	Not Available	1990s	0	0	1	3.78743e-21	5.80339e-38	0
0-100%	Mobile Home	CT	Not Available	2000s	0	0	1	3.15619e-21	6.48571e-38	0
0-100%	Mobile Home	CT	Not Available	2010s	0	0	1	2.58808e-20	1.16069e-57	0
0-100%	Mobile Home	CT	Not Available	<1940	0	0	1	9.72108e-20	1.16069e-57	0
0-100%	Mobile Home	CT	Owner	1940s	0	1	0	8.42494e-20	1.16069e-57	2.68159e-07
0-100%	Mobile Home	CT	Owner	1950s	0	1	0	3.88422e-20	1.16069e-57	5.28436e-07
0-100%	Mobile Home	CT	Owner	1960s	0	1	0	3.17303e-20	1.16069e-57	7.88471e-07
0-100%	Mobile Home	CT	Owner	1970s	0	1	0	4.10305e-21	1.16069e-57	2.21038e-06
0-100%	Mobile Home	CT	Owner	1980s	0	1	0	2.73537e-21	7.03557e-38	1.84474e-06
0-100%	Mobile Home	CT	Owner	1990s	0	1	0	3.28244e-21	5.80339e-38	4.6029e-07
0-100%	Mobile Home	CT	Owner	2000s	0	1	0	2.73537e-21	6.48571e-38	1.04173e-06
0-100%	Mobile Home	CT	Owner	2010s	0	1	0	2.243e-20	1.16069e-57	1.75454e-07
0-100%	Mobile Home	CT	Owner	<1940	0	1	0	8.42494e-20	1.16069e-57	1.62413e-07
0-100%	Mobile Home	CT	Renter	1940s	0.222086	0.777914	0	9.72108e-20	1.16069e-57	1.02028e-07
0-100%	Mobile Home	CT	Renter	1950s	0.265045	0.734955	0	4.4818e-20	1.16069e-57	1.32936e-07
0-100%	Mobile Home	CT	Renter	1960s	0.18573	0.81427	0	3.66119e-20	1.16069e-57	2.74691e-07
0-100%	Mobile Home	CT	Renter	1970s	0.219127	0.780873	0	4.73429e-21	1.16069e-57	7.68119e-07
0-100%	Mobile Home	CT	Renter	1980s	0.581617	0.418383	0	3.15619e-21	7.03557e-38	6.73193e-07
0-100%	Mobile Home	CT	Renter	1990s	0	1	0	3.78743e-21	5.80339e-38	1.50923e-07
0-100%	Mobile Home	CT	Renter	2000s	0.785639	0.214361	0	3.15619e-21	6.48571e-38	4.44729e-07
0-100%	Mobile Home	CT	Renter	2010s	0.0398356	0.960164	0	2.58808e-20	1.16069e-57	7.46669e-08
0-100%	Mobile Home	CT	Renter	<1940	0.222086	0.777914	0	9.72108e-20	1.16069e-57	2.84719e-07
0-100%	Mobile Home	DC	Not Available	1940s	0	0	1	15.091	4.7619e-18	0
0-100%	Mobile Home	DC	Not Available	1950s	0	0	1	11.8864	4.7619e-18	0
0-100%	Mobile Home	DC	Not Available	1960s	0	0	1	13.7509	4.7619e-18	0
0-100%	Mobile Home	DC	Not Available	1970s	0	0	1	2.15586	4.7619e-18	0
0-100%	Mobile Home	DC	Not Available	1980s	0	0	1	2.56373	4.7619e-18	0
0-100%	Mobile Home	DC	Not Available	1990s	0	0	1	3.96213	4.7619e-18	0
0-100%	Mobile Home	DC	Not Available	2000s	0	0	1	2.03933	4.7619e-18	0
0-100%	Mobile Home	DC	Not Available	2010s	0	0	1	1.10706	4.7619e-18	0
0-100%	Mobile Home	DC	Not Available	<1940	0	0	1	15.091	4.7619e-18	0
0-100%	Mobile Home	DC	Owner	1940s	0.207131	0.792869	0	9.80918	4.7619e-18	0
0-100%	Mobile Home	DC	Owner	1950s	0.189466	0.810534	0	7.72615	4.7619e-18	0
0-100%	Mobile Home	DC	Owner	1960s	0.102961	0.897039	0	8.93809	4.7619e-18	0
0-100%	Mobile Home	DC	Owner	1970s	0.204235	0.795765	0	1.40131	4.7619e-18	0
0-100%	Mobile Home	DC	Owner	1980s	0.429319	0.570681	0	1.66642	4.7619e-18	0
0-100%	Mobile Home	DC	Owner	1990s	0.132599	0.867401	0	2.57538	4.7619e-18	0
0-100%	Mobile Home	DC	Owner	2000s	0.113156	0.886844	0	1.32556	4.7619e-18	0
0-100%	Mobile Home	DC	Owner	2010s	0	1	0	0.719592	4.7619e-18	0
0-100%	Mobile Home	DC	Owner	<1940	0.207131	0.792869	0	9.80918	4.7619e-18	0
0-100%	Mobile Home	DC	Renter	1940s	0.174615	0.825385	0	5.28186	4.7619e-18	0
0-100%	Mobile Home	DC	Renter	1950s	0.159166	0.840834	0	4.16023	4.7619e-18	0
0-100%	Mobile Home	DC	Renter	1960s	0.0850438	0.914956	0	4.81282	4.7619e-18	0
0-100%	Mobile Home	DC	Renter	1970s	0.172075	0.827925	0	0.754552	4.7619e-18	0
0-100%	Mobile Home	DC	Renter	1980s	0.378578	0.621422	0	0.897305	4.7619e-18	0
0-100%	Mobile Home	DC	Renter	1990s	0.110157	0.889843	0	1.38674	4.7619e-18	0
0-100%	Mobile Home	DC	Renter	2000s	0.0936499	0.90635	0	0.713765	4.7619e-18	0
0-100%	Mobile Home	DC	Renter	2010s	0	1	0	0.387473	4.7619e-18	0
0-100%	Mobile Home	DC	Renter	<1940	0.174615	0.825385	0	5.28186	4.7619e-18	0
0-100%	Mobile Home	DE	Not Available	1940s	0	0	1	23.7695	4.00857e-18	0
0-100%	Mobile Home	DE	Not Available	1950s	0	0	1	18.7219	4.00857e-18	0
0-100%	Mobile Home	DE	Not Available	1960s	0	0	1	21.6587	4.00857e-18	0
0-100%	Mobile Home	DE	Not Available	1970s	0	0	1	3.39564	358.465	0
0-100%	Mobile Home	DE	Not Available	1980s	0	0	1	4.03806	209.198	0
0-100%	Mobile Home	DE	Not Available	1990s	0	0	1	6.24064	548.938	0
0-100%	Mobile Home	DE	Not Available	2000s	0	0	1	3.2121	250.767	0
0-100%	Mobile Home	DE	Not Available	2010s	0	0	1	1.74371	224.207	0
0-100%	Mobile Home	DE	Not Available	<1940	0	0	1	23.7695	4.00857e-18	0
0-100%	Mobile Home	DE	Owner	1940s	0.321657	0.678343	0	6.15624	6.36435e-19	7.10403e-08
0-100%	Mobile Home	DE	Owner	1950s	0.297893	0.702107	0	4.84893	6.36435e-19	6.13052e-07
0-100%	Mobile Home	DE	Owner	1960s	0.172414	0.827586	0	5.60955	6.36435e-19	1.1265e-06
0-100%	Mobile Home	DE	Owner	1970s	0.3178	0.6822	0	0.879463	56.9131	3.5665e-06
0-100%	Mobile Home	DE	Owner	1980s	0.577253	0.422747	0	1.04585	33.2141	5.57339e-06
0-100%	Mobile Home	DE	Owner	1990s	0.217203	0.782797	0	1.61631	87.1541	4.90238e-06
0-100%	Mobile Home	DE	Owner	2000s	0.188045	0.811955	0	0.831925	39.8139	3.57588e-06
0-100%	Mobile Home	DE	Owner	2010s	0	1	0	0.451616	35.597	2.52834e-07
0-100%	Mobile Home	DE	Owner	<1940	0.321657	0.678343	0	6.15624	6.36435e-19	1.62636e-07
0-100%	Mobile Home	DE	Renter	1940s	0.277453	0.722547	0	5.00443	1.45051e-18	2.27467e-08
0-100%	Mobile Home	DE	Renter	1950s	0.255725	0.744275	0	3.94171	1.45051e-18	1.99502e-07
0-100%	Mobile Home	DE	Renter	1960s	0.144356	0.855644	0	4.56002	1.45051e-18	6.74746e-07
0-100%	Mobile Home	DE	Renter	1970s	0.273913	0.726087	0	0.714918	129.712	1.87405e-06
0-100%	Mobile Home	DE	Renter	1980s	0.525115	0.474885	0	0.850173	75.6991	3.219e-06
0-100%	Mobile Home	DE	Renter	1990s	0.183472	0.816528	0	1.3139	198.635	2.87485e-06
0-100%	Mobile Home	DE	Renter	2000s	0.157928	0.842072	0	0.676274	90.7408	2.07809e-06
0-100%	Mobile Home	DE	Renter	2010s	0	1	0	0.36712	81.1299	4.51865e-07
0-100%	Mobile Home	DE	Renter	<1940	0.277453	0.722547	0	5.00443	1.45051e-18	1.23542e-07
0-100%	Mobile Home	FL	Not Available	1940s	0	0	1	6.96717	183.094	0
0-100%	Mobile Home	FL	Not Available	1950s	0	0	1	5.48766	1154.32	0
0-100%	Mobile Home	FL	Not Available	1960s	0	0	1	6.34847	3.38985e-18	0
0-100%	Mobile Home	FL	Not Available	1970s	0	0	1	0.99531	4731.7	0
0-100%	Mobile Home	FL	Not Available	1980s	0	0	1	1.18361	2908.61	0
0-100%	Mobile Home	FL	Not Available	1990s	0	0	1	0.322803	6151.62	0
0-100%	Mobile Home	FL	Not Available	2000s	0	0	1	0.94151	2144.32	0
0-100%	Mobile Home	FL	Not Available	2010s	0	0	1	0.511105	2188.27	0
0-100%	Mobile Home	FL	Not Available	<1940	0	0	1	6.96717	473.156	0
0-100%	Mobile Home	FL	Owner	1940s	0.243377	0.756623	0	16.771	66.3069	2.69501e-06
0-100%	Mobile Home	FL	Owner	1950s	0.223491	0.776509	0	13.2096	418.034	1.58207e-05
0-100%	Mobile Home	FL	Owner	1960s	0.123824	0.876176	0	15.2817	1.22762e-18	4.88414e-05
0-100%	Mobile Home	FL	Owner	1970s	0.240126	0.759874	0	2.39586	1713.57	0.000162402
0-100%	Mobile Home	FL	Owner	1980s	0.480864	0.519136	0	2.84913	1053.34	0.000147194
0-100%	Mobile Home	FL	Owner	1990s	0	1	0	0.777035	2227.79	0.000114717
0-100%	Mobile Home	FL	Owner	2000s	0.135773	0.864227	0	2.26635	776.561	6.06548e-05
0-100%	Mobile Home	FL	Owner	2010s	0	1	0	1.23031	792.477	1.33318e-05
0-100%	Mobile Home	FL	Owner	<1940	0.243377	0.756623	0	16.771	171.352	2.29678e-06
0-100%	Mobile Home	FL	Renter	1940s	0.206654	0.793346	0	5.97567	29.0338	1.70174e-06
0-100%	Mobile Home	FL	Renter	1950s	0.189019	0.810981	0	4.70671	183.045	8.06379e-06
0-100%	Mobile Home	FL	Renter	1960s	0.102692	0.897308	0	5.44502	5.37541e-19	2.71197e-05
0-100%	Mobile Home	FL	Renter	1970s	0.203762	0.796238	0	0.853668	750.324	8.72925e-05
0-100%	Mobile Home	FL	Renter	1980s	0.428606	0.571394	0	1.01517	461.229	9.00399e-05
0-100%	Mobile Home	FL	Renter	1990s	0	1	0	0.276865	975.486	7.6467e-05
0-100%	Mobile Home	FL	Renter	2000s	0.112864	0.887136	0	0.807524	340.034	5.05232e-05
0-100%	Mobile Home	FL	Renter	2010s	0	1	0	0.43837	347.003	9.84706e-06
0-100%	Mobile Home	FL	Renter	<1940	0.206654	0.793346	0	5.97567	75.0301	1.78672e-06
0-100%	Mobile Home	GA	Not Available	1940s	0	0	1	12.0191	1.1007e-17	0
0-100%	Mobile Home	GA	Not Available	1950s	0	0	1	9.46675	1.1007e-17	0
0-100%	Mobile Home	GA	Not Available	1960s	0	0	1	10.9517	1502.28	0
0-100%	Mobile Home	GA	Not Available	1970s	0	0	1	1.71701	6157.35	0
0-100%	Mobile Home	GA	Not Available	1980s	0	0	1	2.04185	6745.78	0
0-100%	Mobile Home	GA	Not Available	1990s	0	0	1	3.15558	11702.8	0
0-100%	Mobile Home	GA	Not Available	2000s	0	0	1	1.6242	4739.58	0
0-100%	Mobile Home	GA	Not Available	2010s	0	0	1	0.881708	3585.28	0
