Dependency=Federal Poverty Level	Dependency=Geometry Building Type RECS	Dependency=State	Dependency=Tenure	Dependency=Vintage	Option=EF 6.7	Option=EF 10.2	Option=EF 10.5	Option=EF 15.9	Option=EF 17.6	Option=EF 19.9	Option=EF 21.9	Option=None	Option=Void	source_count	source_weight	sampling_probability
300-400%	Mobile Home	WY	Owner	1940s	0.0278635	0.00498333	0.0139347	0.136191	0.430263	0.352793	0.0339715	0	0	27	0	1.08098e-07
300-400%	Mobile Home	WY	Renter	1940s	0	0	0.000225629	0.0808586	0.650095	0.249188	0.0196325	0	0	13	0	3.57229e-08
400%+	Mobile Home	WY	Not Available	1940s	0	0	0	0	0	0	0	0	1	53	0	0
400%+	Mobile Home	WY	Owner	1940s	0.0248905	0.00445162	0.012102	0.168845	0.33665	0.374599	0.0784617	0	0	47	0	1.70331e-07
400%+	Mobile Home	WY	Renter	1940s	0.0459467	0.00630635	0.0178602	0.0725176	0.463226	0.361314	0.0328294	0	0	41	0	2.91175e-08
Not Available	Mobile Home	WY	Not Available	1940s	0.0453488	0.00786768	0.02146	0.174923	0.379025	0.331496	0.0398791	0	0	118	0	3.4761e-07
Not Available	Mobile Home	WY	Owner	1940s	0	0	0	0	0	0	0	0	1	98	0	0
Not Available	Mobile Home	WY	Renter	1940s	0	0	0	0	0	0	0	0	1	20	0	0
0-100%	Mobile Home	WY	Not Available	1950s	0	0	0	0	0	0	0	0	1	15	0	0
0-100%	Mobile Home	WY	Owner	1950s	0.0670967	0.0120001	0.0327298	0.212329	0.314595	0.335844	0.0254053	0	0	53	0	5.40755e-07
0-100%	Mobile Home	WY	Renter	1950s	0.102347	0.0162839	0.042162	0.0507588	0.446771	0.312274	0.0294039	0	0	18	0	2.76319e-07
100-150%	Mobile Home	WY	Not Available	1950s	0	0	0	0	0	0	0	0	1	22	1258.03	0
100-150%	Mobile Home	WY	Owner	1950s	0.165259	0.0295563	0.0732694	0.0863243	0.286311	0.326503	0.0327769	0	0	17	1258.03	3.15218e-07
100-150%	Mobile Home	WY	Renter	1950s	0	0	0	0.0588748	0.539128	0.351107	0.0508895	0	0	11	0	1.46849e-07
150-200%	Mobile Home	WY	Not Available	1950s	0	0	0	0	0	0	0	0	1	11	1037.27	0
150-200%	Mobile Home	WY	Owner	1950s	0	0	0.00438177	0.319825	0.384758	0.251169	0.0398657	0	0	10	1037.27	2.69425e-07
150-200%	Mobile Home	WY	Renter	1950s	0	0	0	0.0588748	0.539128	0.351107	0.0508895	0	0	11	0	1.012e-07
200-300%	Mobile Home	WY	Not Available	1950s	0	0	0	0	0	0	0	0	1	21	0	0
200-300%	Mobile Home	WY	Owner	1950s	0	0	0.00175758	0.224686	0.371585	0.318832	0.083139	0	0	19	0	3.96929e-07
200-300%	Mobile Home	WY	Renter	1950s	0	0	0.000225629	0.0808586	0.650095	0.249188	0.0196325	0	0	13	0	1.46855e-07
300-400%	Mobile Home	WY	Not Available	1950s	0	0	0	0	0	0	0	0	1	12	0	0
300-400%	Mobile Home	WY	Owner	1950s	0	0	0.00179687	0.122807	0.28318	0.514372	0.0778448	0	0	10	0	2.37183e-07
300-400%	Mobile Home	WY	Renter	1950s	0	0	0.000225629	0.0808586	0.650095	0.249188	0.0196325	0	0	13	0	7.11498e-08
400%+	Mobile Home	WY	Not Available	1950s	0	0	0	0	0	0	0	0	1	30	0	0
400%+	Mobile Home	WY	Owner	1950s	0.0219204	0.00280005	0.00950761	0.168354	0.359972	0.389031	0.048416	0	0	29	0	3.73732e-07
400%+	Mobile Home	WY	Renter	1950s	0.0459467	0.00630635	0.0178602	0.0725176	0.463226	0.361314	0.0328294	0	0	41	0	5.79939e-08
Not Available	Mobile Home	WY	Not Available	1950s	0.0309772	0.00507385	0.0144386	0.167031	0.359325	0.370227	0.052928	0	0	63	2295.3	9.11556e-07
Not Available	Mobile Home	WY	Owner	1950s	0	0	0	0	0	0	0	0	1	56	2295.3	0
Not Available	Mobile Home	WY	Renter	1950s	0	0	0	0	0	0	0	0	1	27	0	0
0-100%	Mobile Home	WY	Not Available	1960s	0	0	0	0	0	0	0	0	1	10	1433.78	0
0-100%	Mobile Home	WY	Owner	1960s	0.0916062	0.0100816	0.0315044	0.0427342	0.368703	0.396129	0.0592415	0	0	21	0	1.41879e-06
0-100%	Mobile Home	WY	Renter	1960s	0	0	0.00112882	0.0944745	0.551519	0.343065	0.00981263	0	0	24	1433.78	8.49398e-07
100-150%	Mobile Home	WY	Not Available	1960s	0	0	0	0	0	0	0	0	1	11	0	0
100-150%	Mobile Home	WY	Owner	1960s	0.0245999	0.00438426	0.0107863	0.0240848	0.484524	0.412214	0.0394063	0	0	27	0	1.10331e-06
100-150%	Mobile Home	WY	Renter	1960s	0	0	0.00186432	0.141796	0.555594	0.300558	0.000187778	0	0	15	0	5.51062e-07
150-200%	Mobile Home	WY	Not Available	1960s	0	0	0	0	0	0	0	0	1	11	0	0
150-200%	Mobile Home	WY	Owner	1960s	0.0564201	0.00886575	0.0230885	0.0487472	0.299274	0.446517	0.117087	0	0	34	0	1.02656e-06
150-200%	Mobile Home	WY	Renter	1960s	0	0	0.00186432	0.141796	0.555594	0.300558	0.000187778	0	0	15	0	4.09245e-07
200-300%	Mobile Home	WY	Not Available	1960s	0	0	0	0	0	0	0	0	1	22	86.0307	0
200-300%	Mobile Home	WY	Owner	1960s	0	0	0.00117485	0.101092	0.388081	0.488574	0.0210783	0	0	18	0	1.76269e-06
200-300%	Mobile Home	WY	Renter	1960s	0	0	8.54359e-06	0.00455069	0.381403	0.554782	0.0592555	0	0	11	86.0307	6.18995e-07
300-400%	Mobile Home	WY	Not Available	1960s	0	0	0	0	0	0	0	0	1	25	1463.26	0
300-400%	Mobile Home	WY	Owner	1960s	0	0	0.00257989	0.286246	0.513637	0.181994	0.0155433	0	0	19	727.305	1.02633e-06
300-400%	Mobile Home	WY	Renter	1960s	0	0	0	0.00221645	0.457093	0.410931	0.129759	0	0	11	735.956	3.18372e-07
400%+	Mobile Home	WY	Not Available	1960s	0	0	0	0	0	0	0	0	1	51	2.84788	0
400%+	Mobile Home	WY	Owner	1960s	0.0381258	0.00419589	0.0141684	0.0956362	0.354683	0.464167	0.0290237	0	0	45	2.84788	1.38577e-06
400%+	Mobile Home	WY	Renter	1960s	0	0	0	0.0117147	0.459367	0.417191	0.111727	0	0	10	0	3.46595e-07
Not Available	Mobile Home	WY	Not Available	1960s	0.0165924	0.00182605	0.00664751	0.0968167	0.414514	0.428369	0.0352344	0	0	91	2985.92	3.53374e-06
Not Available	Mobile Home	WY	Owner	1960s	0	0	0	0	0	0	0	0	1	74	730.153	0
Not Available	Mobile Home	WY	Renter	1960s	0	0	0	0	0	0	0	0	1	17	2255.77	0
0-100%	Mobile Home	WY	Not Available	1970s	0	0	0	0	0	0	0	0	1	13	2021.96	0
0-100%	Mobile Home	WY	Owner	1970s	0.166005	0.0182695	0.0570911	0.0733191	0.448861	0.203806	0.0326483	0	0	11	2021.96	8.34894e-06
0-100%	Mobile Home	WY	Renter	1970s	0	0	0.00112882	0.0944745	0.551519	0.343065	0.00981263	0	0	24	0	4.90734e-06
100-150%	Mobile Home	WY	Not Available	1970s	0	0	0	0	0	0	0	0	1	10	255.485	0
100-150%	Mobile Home	WY	Owner	1970s	0.000566866	6.23858e-05	0.000194952	0.0453004	0.765682	0.188193	0	0	0	10	255.485	6.77711e-06
100-150%	Mobile Home	WY	Renter	1970s	0	0	0.00186432	0.141796	0.555594	0.300558	0.000187778	0	0	15	0	3.65911e-06
150-200%	Mobile Home	WY	Not Available	1970s	0	0	0	0	0	0	0	0	1	31	2465.44	0
150-200%	Mobile Home	WY	Owner	1970s	0.0699472	0.0109914	0.0286241	0.0448721	0.244527	0.462996	0.138042	0	0	25	1242.98	6.56244e-06
150-200%	Mobile Home	WY	Renter	1970s	0	0	0.00186432	0.141796	0.555594	0.300558	0.000187778	0	0	15	1222.46	2.87987e-06
200-300%	Mobile Home	WY	Not Available	1970s	0	0	0	0	0	0	0	0	1	45	641.991	0
200-300%	Mobile Home	WY	Owner	1970s	0.00895856	0.00160222	0.00420545	0.0821712	0.367943	0.451993	0.0831271	0	0	38	102.615	1.12173e-05
200-300%	Mobile Home	WY	Renter	1970s	0	0	8.54359e-06	0.00455069	0.381403	0.554782	0.0592555	0	0	11	539.376	4.30921e-06
300-400%	Mobile Home	WY	Not Available	1970s	0	0	0	0	0	0	0	0	1	41	877.823	0
300-400%	Mobile Home	WY	Owner	1970s	0.020578	0.00358386	0.0141894	0.151296	0.317721	0.443853	0.0487789	0	0	36	877.823	6.49108e-06
300-400%	Mobile Home	WY	Renter	1970s	0	0	0	0.00221645	0.457093	0.410931	0.129759	0	0	11	0	1.98248e-06
400%+	Mobile Home	WY	Not Available	1970s	0	0	0	0	0	0	0	0	1	77	0	0
400%+	Mobile Home	WY	Owner	1970s	0.0566607	0.00962273	0.0244728	0.034315	0.334059	0.480142	0.0607281	0	0	73	0	8.23289e-06
400%+	Mobile Home	WY	Renter	1970s	0	0	0	0.0117147	0.459367	0.417191	0.111727	0	0	10	0	2.05229e-06
Not Available	Mobile Home	WY	Not Available	1970s	0.0530716	0.00584073	0.0187464	0.0719028	0.526457	0.306641	0.0173401	0	0	26	6262.69	2.10968e-05
Not Available	Mobile Home	WY	Owner	1970s	0	0	0	0	0	0	0	0	1	21	4500.86	0
Not Available	Mobile Home	WY	Renter	1970s	0	0	0	0	0	0	0	0	1	18	1761.84	0
0-100%	Mobile Home	WY	Not Available	1980s	0	0	0	0	0	0	0	0	1	11	308.37	0
0-100%	Mobile Home	WY	Owner	1980s	0	0	0.000497793	0.0461417	0.424739	0.436651	0.0919709	0	0	10	0	3.07989e-06
0-100%	Mobile Home	WY	Renter	1980s	0	0	0.00161939	0.116294	0.546012	0.336074	0	0	0	11	308.37	2.81468e-06
100-150%	Mobile Home	WY	Not Available	1980s	0	0	0	0	0	0	0	0	1	13	616.74	0
100-150%	Mobile Home	WY	Owner	1980s	0.0747029	0.00822135	0.0265002	0.0757906	0.296364	0.440576	0.0778447	0	0	25	0	2.51888e-06
100-150%	Mobile Home	WY	Renter	1980s	0	0	0.00171588	0.191702	0.679245	0.127337	0	0	0	12	616.74	1.38646e-06
150-200%	Mobile Home	WY	Not Available	1980s	0	0	0	0	0	0	0	0	1	10	0	0
150-200%	Mobile Home	WY	Owner	1980s	0.0515324	0.00817054	0.0224289	0.148526	0.261934	0.416704	0.0907055	0	0	30	0	2.89762e-06
150-200%	Mobile Home	WY	Renter	1980s	0	0	0.00171588	0.191702	0.679245	0.127337	0	0	0	12	0	1.38784e-06
200-300%	Mobile Home	WY	Not Available	1980s	0	0	0	0	0	0	0	0	1	32	0	0
200-300%	Mobile Home	WY	Owner	1980s	0.100494	0.0143264	0.0430892	0.172225	0.251863	0.346116	0.0718857	0	0	30	0	5.83824e-06
200-300%	Mobile Home	WY	Renter	1980s	0	0	0	0.0176886	0.562204	0.3147	0.0161835	0.0892237	0	10	0	2.67244e-06
300-400%	Mobile Home	WY	Not Available	1980s	0	0	0	0	0	0	0	0	1	32	404.047	0
300-400%	Mobile Home	WY	Owner	1980s	0.109554	0.0123924	0.0381422	0.0825336	0.264513	0.402926	0.0899387	0	0	27	404.047	4.5519e-06
300-400%	Mobile Home	WY	Renter	1980s	0	0	0	0.0372355	0.517297	0.346476	0.0504875	0.0485044	0	19	0	1.6585e-06
400%+	Mobile Home	WY	Not Available	1980s	0	0	0	0	0	0	0	0	1	74	2249.17	0
400%+	Mobile Home	WY	Owner	1980s	0.00413838	0.00063635	0.00327447	0.0889527	0.283026	0.541515	0.0784562	0	0	66	1373.25	8.84117e-06
400%+	Mobile Home	WY	Renter	1980s	0	0	0	0.0822646	0.623044	0.240252	0.0544393	0	0	12	875.925	1.42953e-06
Not Available	Mobile Home	WY	Not Available	1980s	0.13719	0.0245362	0.0627405	0.182693	0.346478	0.241579	0.00478303	0	0	14	3578.33	1.20542e-05
Not Available	Mobile Home	WY	Owner	1980s	0	0	0	0	0	0	0	0	1	105	1777.29	0
Not Available	Mobile Home	WY	Renter	1980s	0	0	0	0	0	0	0	0	1	21	1801.03	0
0-100%	Mobile Home	WY	Not Available	1990s	0	0	0	0	0	0	0	0	1	10	0	0
0-100%	Mobile Home	WY	Owner	1990s	0	0	0.000497793	0.0461417	0.424739	0.436651	0.0919709	0	0	10	0	3.17728e-06
0-100%	Mobile Home	WY	Renter	1990s	0	0	0.00161939	0.116294	0.546012	0.336074	0	0	0	11	0	3.04841e-06
100-150%	Mobile Home	WY	Not Available	1990s	0	0	0	0	0	0	0	0	1	19	32.8166	0
100-150%	Mobile Home	WY	Owner	1990s	0.108609	0.0119529	0.0373519	0.0245153	0.187346	0.532263	0.0979612	0	0	16	32.8166	2.61505e-06
100-150%	Mobile Home	WY	Renter	1990s	0	0	0.00171588	0.191702	0.679245	0.127337	0	0	0	12	0	1.46364e-06
150-200%	Mobile Home	WY	Not Available	1990s	0	0	0	0	0	0	0	0	1	25	1925.52	0
150-200%	Mobile Home	WY	Owner	1990s	0	0	0.0017902	0.145053	0.241059	0.503942	0.108156	0	0	21	1017.31	3.0193e-06
150-200%	Mobile Home	WY	Renter	1990s	0	0	0.00171588	0.191702	0.679245	0.127337	0	0	0	12	908.205	1.42311e-06
200-300%	Mobile Home	WY	Not Available	1990s	0	0	0	0	0	0	0	0	1	48	0	0
200-300%	Mobile Home	WY	Owner	1990s	0.143164	0.0191149	0.0538994	0.0484044	0.266986	0.401559	0.0668721	0	0	40	0	6.14472e-06
200-300%	Mobile Home	WY	Renter	1990s	0	0	0	0.0176886	0.562204	0.3147	0.0161835	0.0892237	0	10	0	2.73567e-06
300-400%	Mobile Home	WY	Not Available	1990s	0	0	0	0	0	0	0	0	1	39	0	0
300-400%	Mobile Home	WY	Owner	1990s	0.0562493	0.0067598	0.0201345	0.127075	0.308638	0.393058	0.0880854	0	0	35	0	4.88975e-06
300-400%	Mobile Home	WY	Renter	1990s	0	0	0	0.0372355	0.517297	0.346476	0.0504875	0.0485044	0	19	0	1.65749e-06
400%+	Mobile Home	WY	Not Available	1990s	0	0	0	0	0	0	0	0	1	91	0	0
400%+	Mobile Home	WY	Owner	1990s	0.0592975	0.00866761	0.0246304	0.0808011	0.379083	0.410923	0.0365971	0	0	87	0	9.74362e-06
400%+	Mobile Home	WY	Renter	1990s	0	0	0	0.0822646	0.623044	0.240252	0.0544393	0	0	12	0	1.47441e-06
Not Available	Mobile Home	WY	Not Available	1990s	0.0414362	0.00741078	0.0184183	0.0588967	0.465721	0.377328	0.0307889	0	0	21	1958.33	1.2727e-05
Not Available	Mobile Home	WY	Owner	1990s	0	0	0	0	0	0	0	0	1	17	1050.13	0
Not Available	Mobile Home	WY	Renter	1990s	0	0	0	0	0	0	0	0	1	18	908.205	0
0-100%	Mobile Home	WY	Not Available	2000s	0	0	0	0	0	0	0	0	1	11	0	0
0-100%	Mobile Home	WY	Owner	2000s	0	0	0	0.0338605	0.382803	0.416522	0.0535829	0.113232	0	11	0	1.40425e-06
0-100%	Mobile Home	WY	Renter	2000s	0	0	0	0.0262023	0.47367	0.357208	0.0458868	0.0970326	0	17	0	2.08434e-06
100-150%	Mobile Home	WY	Not Available	2000s	0	0	0	0	0	0	0	0	1	16	0	0
100-150%	Mobile Home	WY	Owner	2000s	0	0	0.0105445	0.274878	0.263256	0.346181	0.10514	0	0	12	0	2.1068e-06
100-150%	Mobile Home	WY	Renter	2000s	0	0	0	0.0356534	0.496316	0.322844	0.062438	0.0827487	0	12	0	1.32226e-06
150-200%	Mobile Home	WY	Not Available	2000s	0	0	0	0	0	0	0	0	1	23	0	0
150-200%	Mobile Home	WY	Owner	2000s	0.0665795	0.0100539	0.0291977	0.09328	0.352704	0.400009	0.0481757	0	0	19	0	2.46402e-06
150-200%	Mobile Home	WY	Renter	2000s	0	0	0	0.0356534	0.496316	0.322844	0.062438	0.0827487	0	12	0	1.30048e-06
200-300%	Mobile Home	WY	Not Available	2000s	0	0	0	0	0	0	0	0	1	52	0	0
200-300%	Mobile Home	WY	Owner	2000s	0.0201024	0.00339936	0.00856079	0.124298	0.356489	0.398643	0.0885082	0	0	45	0	5.95121e-06
200-300%	Mobile Home	WY	Renter	2000s	0	0	0	0.0419534	0.481017	0.386388	0.0906413	0	0	14	0	2.2843e-06
300-400%	Mobile Home	WY	Not Available	2000s	0	0	0	0	0	0	0	0	1	50	0	0
300-400%	Mobile Home	WY	Owner	2000s	0.0496685	0.00674362	0.0188535	0.162609	0.366378	0.326646	0.0691011	0	0	45	0	4.27707e-06
300-400%	Mobile Home	WY	Renter	2000s	0	0	0	0.048793	0.55729	0.341481	0.0524358	0	0	23	0	1.40221e-06
400%+	Mobile Home	WY	Not Available	2000s	0	0	0	0	0	0	0	0	1	113	3261.18	0
400%+	Mobile Home	WY	Owner	2000s	0.00756441	0.00097918	0.00400398	0.0944203	0.401729	0.431403	0.0599008	0	0	102	3261.18	8.76609e-06
400%+	Mobile Home	WY	Renter	2000s	0	0	0.00179738	0.235393	0.542883	0.219926	0	0	0	11	0	1.70174e-06
Not Available	Mobile Home	WY	Not Available	2000s	0	0	0	0.116407	0.320754	0.391402	0.0220036	0.149433	0	10	3261.18	1.05747e-05
Not Available	Mobile Home	WY	Owner	2000s	0	0	0	0	0	0	0	0	1	165	3261.18	0
Not Available	Mobile Home	WY	Renter	2000s	0	0	0	0	0	0	0	0	1	24	0	0
0-100%	Mobile Home	WY	Not Available	2010s	0	0	0	0	0	0	0	0	1	16	0	0
0-100%	Mobile Home	WY	Owner	2010s	0	0	0	0.0338605	0.382803	0.416522	0.0535829	0.113232	0	11	0	4.52272e-07
0-100%	Mobile Home	WY	Renter	2010s	0	0	0	0.0262023	0.47367	0.357208	0.0458868	0.0970326	0	17	0	4.73025e-07
100-150%	Mobile Home	WY	Not Available	2010s	0	0	0	0	0	0	0	0	1	24	0	0
100-150%	Mobile Home	WY	Owner	2010s	0	0	0.00642119	0.16739	0.231429	0.481906	0.112854	0	0	17	0	5.9251e-07
100-150%	Mobile Home	WY	Renter	2010s	0	0	0	0.0356534	0.496316	0.322844	0.062438	0.0827487	0	12	0	4.42878e-07
150-200%	Mobile Home	WY	Not Available	2010s	0	0	0	0	0	0	0	0	1	12	0	0
150-200%	Mobile Home	WY	Owner	2010s	0	0	0	0.0023802	0.345055	0.617818	0.0347466	0	0	11	0	5.25802e-07
150-200%	Mobile Home	WY	Renter	2010s	0	0	0	0.0356534	0.496316	0.322844	0.062438	0.0827487	0	12	0	3.56734e-07
200-300%	Mobile Home	WY	Not Available	2010s	0	0	0	0	0	0	0	0	1	36	0	0
200-300%	Mobile Home	WY	Owner	2010s	0	0	0	0.0120166	0.312462	0.559481	0.11604	0	0	29	0	1.1918e-06
200-300%	Mobile Home	WY	Renter	2010s	0	0	0	0.0419534	0.481017	0.386388	0.0906413	0	0	14	0	6.11992e-07
300-400%	Mobile Home	WY	Not Available	2010s	0	0	0	0	0	0	0	0	1	37	0	0
300-400%	Mobile Home	WY	Owner	2010s	0	0	0	0.00784313	0.259539	0.590764	0.141854	0	0	33	0	1.19703e-06
300-400%	Mobile Home	WY	Renter	2010s	0	0	0	0.048793	0.55729	0.341481	0.0524358	0	0	23	0	3.35023e-07
400%+	Mobile Home	WY	Not Available	2010s	0	0	0	0	0	0	0	0	1	70	0	0
400%+	Mobile Home	WY	Owner	2010s	0	0	0.00055401	0.0402216	0.308993	0.585156	0.0650754	0	0	65	0	2.44554e-06
400%+	Mobile Home	WY	Renter	2010s	0	0	0.00119133	0.179773	0.528282	0.271528	0.019225	0	0	16	0	3.7891e-07
Not Available	Mobile Home	WY	Not Available	2010s	0	0	0.000260179	0.0246424	0.333147	0.557722	0.0842285	0	0	120	0	2.65587e-06
Not Available	Mobile Home	WY	Owner	2010s	0	0	0	0	0	0	0	0	1	105	0	0
Not Available	Mobile Home	WY	Renter	2010s	0	0	0	0	0	0	0	0	1	15	0	0
0-100%	Mobile Home	WY	Not Available	<1940	0	0	0	0	0	0	0	0	1	11	0	0
0-100%	Mobile Home	WY	Owner	<1940	0.0670967	0.0120001	0.0327298	0.212329	0.314595	0.335844	0.0254053	0	0	53	0	5.50784e-08
0-100%	Mobile Home	WY	Renter	<1940	0.102347	0.0162839	0.042162	0.0507588	0.446771	0.312274	0.0294039	0	0	18	0	7.45467e-08
100-150%	Mobile Home	WY	Not Available	<1940	0	0	0	0	0	0	0	0	1	14	0	0
100-150%	Mobile Home	WY	Owner	<1940	0	0	0.00453878	0.287777	0.27433	0.417647	0.0157064	0	0	10	0	5.82213e-08
100-150%	Mobile Home	WY	Renter	<1940	0	0	0	0.0588748	0.539128	0.351107	0.0508895	0	0	11	0	1.52057e-08
150-200%	Mobile Home	WY	Not Available	<1940	0	0	0	0	0	0	0	0	1	23	0	0
150-200%	Mobile Home	WY	Owner	<1940	0.128704	0.0230185	0.0567923	0.109673	0.379354	0.264158	0.0382997	0	0	18	0	4.28476e-08
150-200%	Mobile Home	WY	Renter	<1940	0	0	0	0.0588748	0.539128	0.351107	0.0508895	0	0	11	0	8.81571e-09
200-300%	Mobile Home	WY	Not Available	<1940	0	0	0	0	0	0	0	0	1	42	0	0
200-300%	Mobile Home	WY	Owner	<1940	0.0224688	0.0040185	0.011063	0.174189	0.389931	0.391207	0.00712279	0	0	37	0	6.34332e-08
200-300%	Mobile Home	WY	Renter	<1940	0	0	0.000225629	0.0808586	0.650095	0.249188	0.0196325	0	0	13	0	1.84129e-08
300-400%	Mobile Home	WY	Not Available	<1940	0	0	0	0	0	0	0	0	1	31	0	0
300-400%	Mobile Home	WY	Owner	<1940	0.0278635	0.00498333	0.0139347	0.136191	0.430263	0.352793	0.0339715	0	0	27	0	5.24455e-08
300-400%	Mobile Home	WY	Renter	<1940	0	0	0.000225629	0.0808586	0.650095	0.249188	0.0196325	0	0	13	0	1.00348e-08
400%+	Mobile Home	WY	Not Available	<1940	0	0	0	0	0	0	0	0	1	53	0	0
400%+	Mobile Home	WY	Owner	<1940	0.0248905	0.00445162	0.012102	0.168845	0.33665	0.374599	0.0784617	0	0	47	0	6.23358e-08
400%+	Mobile Home	WY	Renter	<1940	0.0459467	0.00630635	0.0178602	0.0725176	0.463226	0.361314	0.0328294	0	0	41	0	1.66984e-08
Not Available	Mobile Home	WY	Not Available	<1940	0.0453488	0.00786768	0.02146	0.174923	0.379025	0.331496	0.0398791	0	0	118	0	1.57167e-07
Not Available	Mobile Home	WY	Owner	<1940	0	0	0	0	0	0	0	0	1	98	0	0
Not Available	Mobile Home	WY	Renter	<1940	0	0	0	0	0	0	0	0	1	20	0	0
0-100%	Multi-Family with 2 - 4 Units	AK	Not Available	1940s	0	0	0	0	0	0	0	0	1	51	0	0
0-100%	Multi-Family with 2 - 4 Units	AK	Owner	1940s	0.024297	0.00351506	0.0102337	0.137733	0.403488	0.349596	0.0160893	0.0550481	0	33	0	4.48401e-08
0-100%	Multi-Family with 2 - 4 Units	AK	Renter	1940s	0	0	0.000361983	0.0444444	0.52159	0.330638	0.0151485	0.0878173	0	48	0	1.94936e-07
100-150%	Multi-Family with 2 - 4 Units	AK	Not Available	1940s	0	0	0	0	0	0	0	0	1	51	0	0
100-150%	Multi-Family with 2 - 4 Units	AK	Owner	1940s	0.024297	0.00351506	0.0102337	0.137733	0.403488	0.349596	0.0160893	0.0550481	0	33	0	3.02618e-08
100-150%	Multi-Family with 2 - 4 Units	AK	Renter	1940s	0	0	0.000361983	0.0444444	0.52159	0.330638	0.0151485	0.0878173	0	48	0	1.82459e-07
150-200%	Multi-Family with 2 - 4 Units	AK	Not Available	1940s	0	0	0	0	0	0	0	0	1	51	0	0
150-200%	Multi-Family with 2 - 4 Units	AK	Owner	1940s	0.024297	0.00351506	0.0102337	0.137733	0.403488	0.349596	0.0160893	0.0550481	0	33	0	2.39612e-08
150-200%	Multi-Family with 2 - 4 Units	AK	Renter	1940s	0	0	0.000361983	0.0444444	0.52159	0.330638	0.0151485	0.0878173	0	48	0	2.43824e-07
200-300%	Multi-Family with 2 - 4 Units	AK	Not Available	1940s	0	0	0	0	0	0	0	0	1	30	0	0
200-300%	Multi-Family with 2 - 4 Units	AK	Owner	1940s	0.0398741	0.00647372	0.0185582	0.0935508	0.353565	0.426385	0.061593	0	0	50	0	7.09931e-08
200-300%	Multi-Family with 2 - 4 Units	AK	Renter	1940s	0.0270336	0.00483492	0.0127984	0.10939	0.549923	0.275572	0.020448	0	0	28	0	5.29752e-07
300-400%	Multi-Family with 2 - 4 Units	AK	Not Available	1940s	0	0	0	0	0	0	0	0	1	30	109.461	0
300-400%	Multi-Family with 2 - 4 Units	AK	Owner	1940s	0.0398741	0.00647372	0.0185582	0.0935508	0.353565	0.426385	0.061593	0	0	50	109.461	1.05134e-07
300-400%	Multi-Family with 2 - 4 Units	AK	Renter	1940s	0.0270336	0.00483492	0.0127984	0.10939	0.549923	0.275572	0.020448	0	0	28	0	4.00322e-07
400%+	Multi-Family with 2 - 4 Units	AK	Not Available	1940s	0	0	0	0	0	0	0	0	1	40	177.978	0
400%+	Multi-Family with 2 - 4 Units	AK	Owner	1940s	0.0311033	0.00553403	0.0162008	0.147765	0.353343	0.397358	0.017001	0.0316948	0	92	177.978	4.56881e-07
400%+	Multi-Family with 2 - 4 Units	AK	Renter	1940s	0.0566552	0.00706255	0.0211799	0.0821655	0.53079	0.294432	0.00771476	0	0	36	0	1.182e-06
Not Available	Multi-Family with 2 - 4 Units	AK	Not Available	1940s	0.0274747	0.00370728	0.0109247	0.0704237	0.525064	0.316751	0.0129555	0.0326992	0	90	287.439	9.77372e-07
Not Available	Multi-Family with 2 - 4 Units	AK	Owner	1940s	0	0	0	0	0	0	0	0	1	142	287.439	0
Not Available	Multi-Family with 2 - 4 Units	AK	Renter	1940s	0	0	0	0	0	0	0	0	1	84	0	0
0-100%	Multi-Family with 2 - 4 Units	AK	Not Available	1950s	0	0	0	0	0	0	0	0	1	51	0	0
0-100%	Multi-Family with 2 - 4 Units	AK	Owner	1950s	0.024297	0.00351506	0.0102337	0.137733	0.403488	0.349596	0.0160893	0.0550481	0	33	0	1.81432e-07
0-100%	Multi-Family with 2 - 4 Units	AK	Renter	1950s	0	0	0.000361983	0.0444444	0.52159	0.330638	0.0151485	0.0878173	0	48	0	1.14821e-06
100-150%	Multi-Family with 2 - 4 Units	AK	Not Available	1950s	0	0	0	0	0	0	0	0	1	51	392.352	0
100-150%	Multi-Family with 2 - 4 Units	AK	Owner	1950s	0.024297	0.00351506	0.0102337	0.137733	0.403488	0.349596	0.0160893	0.0550481	0	33	0	1.35392e-07
100-150%	Multi-Family with 2 - 4 Units	AK	Renter	1950s	0	0	0.000361983	0.0444444	0.52159	0.330638	0.0151485	0.0878173	0	48	392.352	9.24989e-07
150-200%	Multi-Family with 2 - 4 Units	AK	Not Available	1950s	0	0	0	0	0	0	0	0	1	51	764.797	0
150-200%	Multi-Family with 2 - 4 Units	AK	Owner	1950s	0.024297	0.00351506	0.0102337	0.137733	0.403488	0.349596	0.0160893	0.0550481	0	33	0	1.15299e-07
150-200%	Multi-Family with 2 - 4 Units	AK	Renter	1950s	0	0	0.000361983	0.0444444	0.52159	0.330638	0.0151485	0.0878173	0	48	764.797	1.15445e-06
200-300%	Multi-Family with 2 - 4 Units	AK	Not Available	1950s	0	0	0	0	0	0	0	0	1	30	0	0
200-300%	Multi-Family with 2 - 4 Units	AK	Owner	1950s	0.0398741	0.00647372	0.0185582	0.0935508	0.353565	0.426385	0.061593	0	0	50	0	3.1076e-07
200-300%	Multi-Family with 2 - 4 Units	AK	Renter	1950s	0.0270336	0.00483492	0.0127984	0.10939	0.549923	0.275572	0.020448	0	0	28	0	2.41701e-06
