Dependency=Clothes Washer Presence	Dependency=Federal Poverty Level	Dependency=Geometry Building Type RECS	Dependency=Heating Fuel	Dependency=State	Dependency=Tenure	Option=Electric	Option=Gas	Option=None	Option=Propane	Option=Void	source_count	source_weight	sampling_probability
None	0-100%	Mobile Home	Electricity	DC	Owner	0	0	1	0	0	0.454479	4.7619e-18	0
None	0-100%	Mobile Home	Electricity	DC	Renter	0	0	1	0	0	0.24472	4.7619e-18	0
None	0-100%	Mobile Home	Electricity	DE	Not Available	0	0	0	0	1	1.10129	4.00857e-18	0
None	0-100%	Mobile Home	Electricity	DE	Owner	0	0	1	0	0	0.285231	6.36435e-19	1.52579e-06
None	0-100%	Mobile Home	Electricity	DE	Renter	0	0	1	0	0	0.231865	1.45051e-18	7.26568e-07
None	0-100%	Mobile Home	Electricity	FL	Not Available	0	0	0	0	1	0.322803	1154.32	0
None	0-100%	Mobile Home	Electricity	FL	Owner	0	0	1	0	0	0.777035	418.034	0.000119445
None	0-100%	Mobile Home	Electricity	FL	Renter	0	0	1	0	0	0.276865	183.045	6.19597e-05
None	0-100%	Mobile Home	Electricity	GA	Not Available	0	0	0	0	1	0.556868	2690.92	0
None	0-100%	Mobile Home	Electricity	GA	Owner	0	0	1	0	0	1.36373	1008.63	2.26322e-05
None	0-100%	Mobile Home	Electricity	GA	Renter	0	0	1	0	0	0.465093	404.618	1.90931e-05
None	0-100%	Mobile Home	Electricity	HI	Not Available	0	0	0	0	1	0.267191	4.7619e-18	0
None	0-100%	Mobile Home	Electricity	HI	Owner	0	0	1	0	0	0.166994	4.7619e-18	0
None	0-100%	Mobile Home	Electricity	HI	Renter	0	0	1	0	0	0.317289	4.7619e-18	9.78136e-09
None	0-100%	Mobile Home	Electricity	IA	Not Available	0	0	0	0	1	0.822724	7.02176e-18	0
None	0-100%	Mobile Home	Electricity	IA	Owner	0	0	1	0	0	0.639896	7.02176e-18	1.04428e-07
None	0-100%	Mobile Home	Electricity	IA	Renter	0	0	1	0	0	5.46663e-21	1.48585e-58	5.26046e-07
None	0-100%	Mobile Home	Electricity	ID	Not Available	0	0	0	0	1	1.97569	9.24115e-18	0
None	0-100%	Mobile Home	Electricity	ID	Owner	0	0	1	0	0	2.50294	5.13203e-18	2.02766e-06
None	0-100%	Mobile Home	Electricity	ID	Renter	0	0	1	0	0	0.503376	5.99892e-19	0
None	0-100%	Mobile Home	Electricity	IL	Not Available	0	0	0	0	1	0.038423	3.92812e-19	0
None	0-100%	Mobile Home	Electricity	IL	Owner	0	0	1	0	0	3.08072e-22	5.06805e-59	0
None	0-100%	Mobile Home	Electricity	IL	Renter	0	0	1	0	0	0.140131	3.92812e-19	1.00284e-06
None	0-100%	Mobile Home	Electricity	IN	Not Available	0	0	0	0	1	0.502514	2.78544e-18	0
None	0-100%	Mobile Home	Electricity	IN	Owner	0	0	1	0	0	0.354715	2.78544e-18	0
None	0-100%	Mobile Home	Electricity	IN	Renter	0	0	1	0	0	9.16608e-21	6.96754e-59	4.24893e-06
None	0-100%	Mobile Home	Electricity	KS	Not Available	0	0	0	0	1	0.320224	1.72281e-18	0
None	0-100%	Mobile Home	Electricity	KS	Owner	0	0	1	0	0	0.249063	1.72281e-18	1.68018e-08
None	0-100%	Mobile Home	Electricity	KS	Renter	0	0	1	0	0	5.7469e-21	2.65946e-58	2.52296e-07
None	0-100%	Mobile Home	Electricity	KY	Not Available	0	0	0	0	1	2.22203	1.95931e-18	0
None	0-100%	Mobile Home	Electricity	KY	Owner	0	0	1	0	0	1.17569	1.32727e-18	5.25845e-05
None	0-100%	Mobile Home	Electricity	KY	Renter	0	0	1	0	0	0.140422	6.13468e-20	4.89441e-05
None	0-100%	Mobile Home	Electricity	LA	Not Available	0	0	0	0	1	1.27691	7.33505e-18	0
None	0-100%	Mobile Home	Electricity	LA	Owner	0	0	1	0	0	0.73661	4.03501e-18	0
None	0-100%	Mobile Home	Electricity	LA	Renter	0	0	1	0	0	0.293194	4.89435e-19	3.19854e-05
None	0-100%	Mobile Home	Electricity	MA	Not Available	0	0	0	0	1	0.322797	1.7623e-18	0
None	0-100%	Mobile Home	Electricity	MA	Owner	0	0	1	0	0	0.279758	1.7623e-18	0
None	0-100%	Mobile Home	Electricity	MA	Renter	0	0	1	0	0	8.28758e-21	1.16165e-57	1.94111e-07
None	0-100%	Mobile Home	Electricity	MD	Not Available	0	0	0	0	1	1.45887	1.67508e-17	0
None	0-100%	Mobile Home	Electricity	MD	Owner	0	0	1	0	0	0.596972	6.6387e-18	1.10172e-06
None	0-100%	Mobile Home	Electricity	MD	Renter	0	0	1	0	0	0.189159	2.29888e-18	5.36452e-07
None	0-100%	Mobile Home	Electricity	ME	Not Available	0	0	0	0	1	0.237033	7.90944e-19	0
None	0-100%	Mobile Home	Electricity	ME	Owner	0	0	1	0	0	0.205428	7.90944e-19	0
None	0-100%	Mobile Home	Electricity	ME	Renter	0	0	1	0	0	4.0117e-21	2.26561e-58	1.91772e-07
None	0-100%	Mobile Home	Electricity	MI	Not Available	0	0	0	0	1	0.173262	4.73803e-18	0
None	0-100%	Mobile Home	Electricity	MI	Owner	0	0	1	0	0	0.0678898	1.45995e-18	0
None	0-100%	Mobile Home	Electricity	MI	Renter	0	0	1	0	0	0.281132	9.37836e-19	5.10602e-07
None	0-100%	Mobile Home	Electricity	MN	Not Available	0	0	0	0	1	0.556817	8.02504e-18	0
None	0-100%	Mobile Home	Electricity	MN	Owner	0	0	1	0	0	0.43308	8.02504e-18	1.16684e-08
None	0-100%	Mobile Home	Electricity	MN	Renter	0	0	1	0	0	3.7392e-21	1.73452e-58	6.65635e-08
None	0-100%	Mobile Home	Electricity	MO	Not Available	0	0	0	0	1	0.391659	1461.65	0
None	0-100%	Mobile Home	Electricity	MO	Owner	0	0	1	0	0	0.488808	516.258	1.56158e-07
None	0-100%	Mobile Home	Electricity	MO	Renter	0	0	1	0	0	0.619682	240.567	1.83672e-06
None	0-100%	Mobile Home	Electricity	MS	Not Available	0	0	0	0	1	1.52598	1662.18	0
None	0-100%	Mobile Home	Electricity	MS	Owner	0	0	1	0	0	0.867516	907.868	1.16715e-05
None	0-100%	Mobile Home	Electricity	MS	Renter	0	0	1	0	0	0.612626	113.187	1.6264e-05
None	0-100%	Mobile Home	Electricity	MT	Not Available	0	0	0	0	1	3.07385	3.84588e-18	0
None	0-100%	Mobile Home	Electricity	MT	Owner	0	0	1	0	0	0.327644	1.10221e-19	2.21154e-06
None	0-100%	Mobile Home	Electricity	MT	Renter	0	0	1	0	0	0.94573	2.65395e-18	0
None	0-100%	Mobile Home	Electricity	NC	Not Available	0	0	0	0	1	0.474737	3779.04	0
None	0-100%	Mobile Home	Electricity	NC	Owner	0	0	1	0	0	1.0968	1462.1	6.4077e-05
None	0-100%	Mobile Home	Electricity	NC	Renter	0	0	1	0	0	0.358891	539.933	5.59262e-05
None	0-100%	Mobile Home	Electricity	ND	Not Available	0	0	0	0	1	0.350816	2.71008e-18	0
None	0-100%	Mobile Home	Electricity	ND	Owner	0	0	1	0	0	0.272857	2.71008e-18	1.05976e-08
None	0-100%	Mobile Home	Electricity	ND	Renter	0	0	1	0	0	1.31948e-20	1.83751e-57	6.26075e-08
None	0-100%	Mobile Home	Electricity	NE	Not Available	0	0	0	0	1	0.734274	1.03524e-17	0
None	0-100%	Mobile Home	Electricity	NE	Owner	0	0	1	0	0	7.04967e-21	1.57744e-57	4.02416e-09
None	0-100%	Mobile Home	Electricity	NE	Renter	0	0	1	0	0	1.06062	1.03524e-17	5.72297e-08
None	0-100%	Mobile Home	Electricity	NH	Not Available	0	0	0	0	1	0.333059	5.80763e-18	0
None	0-100%	Mobile Home	Electricity	NH	Owner	0	0	1	0	0	0.288651	5.80763e-18	0
None	0-100%	Mobile Home	Electricity	NH	Renter	0	0	1	0	0	3.31428e-21	5.75088e-58	8.05962e-08
None	0-100%	Mobile Home	Electricity	NJ	Not Available	0	0	0	0	1	0.424503	2.9768e-18	0
None	0-100%	Mobile Home	Electricity	NJ	Owner	0	0	1	0	0	0.208543	1.46617e-18	0
None	0-100%	Mobile Home	Electricity	NJ	Renter	0	0	1	0	0	0.24684	2.64698e-19	5.46209e-08
None	0-100%	Mobile Home	Electricity	NM	Not Available	0	0	0	0	1	2.25133	351.972	0
None	0-100%	Mobile Home	Electricity	NM	Owner	0	0	1	0	0	2.39755	152.972	2.88659e-06
None	0-100%	Mobile Home	Electricity	NM	Renter	0	0	1	0	0	1.59328	40.8667	3.73931e-06
None	0-100%	Mobile Home	Electricity	NV	Not Available	0	0	0	0	1	3.16642	104.168	0
None	0-100%	Mobile Home	Electricity	NV	Owner	0	0	1	0	0	2.37481	104.168	9.45828e-07
None	0-100%	Mobile Home	Electricity	NV	Renter	0	0	1	0	0	1.83785e-20	3.77405e-39	1.60484e-06
None	0-100%	Mobile Home	Electricity	NY	Not Available	0	0	0	0	1	0.149138	5.25096e-18	0
None	0-100%	Mobile Home	Electricity	NY	Owner	0	0	1	0	0	0.133269	2.5885e-18	0
None	0-100%	Mobile Home	Electricity	NY	Renter	0	0	1	0	0	0.157513	4.65963e-19	8.4822e-07
None	0-100%	Mobile Home	Electricity	OH	Not Available	0	0	0	0	1	0.148637	5.9846e-18	0
None	0-100%	Mobile Home	Electricity	OH	Owner	0	0	1	0	0	0.0856583	3.98892e-18	0
None	0-100%	Mobile Home	Electricity	OH	Renter	0	0	1	0	0	0.09952	2.01705e-19	6.63861e-07
None	0-100%	Mobile Home	Electricity	OK	Not Available	0	0	0	0	1	2.88048	3.78697e-18	0
None	0-100%	Mobile Home	Electricity	OK	Owner	0	0	1	0	0	1.16916	1.40374e-18	6.13589e-06
None	0-100%	Mobile Home	Electricity	OK	Renter	0	0	1	0	0	0.375583	5.7945e-19	5.56114e-06
None	0-100%	Mobile Home	Electricity	OR	Not Available	0	0	0	0	1	0.83844	1.84616e-18	0
None	0-100%	Mobile Home	Electricity	OR	Owner	0	0	1	0	0	0.724107	1.84616e-18	1.88625e-05
None	0-100%	Mobile Home	Electricity	OR	Renter	0	0	1	0	0	6.80884e-21	2.17927e-59	1.26216e-05
None	0-100%	Mobile Home	Electricity	PA	Not Available	0	0	0	0	1	0.429853	9.78006e-18	0
None	0-100%	Mobile Home	Electricity	PA	Owner	0	0	1	0	0	0.196685	4.17878e-18	0
None	0-100%	Mobile Home	Electricity	PA	Renter	0	0	1	0	0	0.290304	1.17311e-18	1.42881e-06
None	0-100%	Mobile Home	Electricity	RI	Not Available	0	0	0	0	1	0.307786	1.05254e-18	0
None	0-100%	Mobile Home	Electricity	RI	Owner	0	0	1	0	0	0.266748	1.05254e-18	0
None	0-100%	Mobile Home	Electricity	RI	Renter	0	0	1	0	0	3.32283e-20	1.22676e-56	3.87904e-08
None	0-100%	Mobile Home	Electricity	SC	Not Available	0	0	0	0	1	0.496376	465.907	0
None	0-100%	Mobile Home	Electricity	SC	Owner	0	0	1	0	0	0.266215	249.195	3.77915e-05
None	0-100%	Mobile Home	Electricity	SC	Renter	0	0	1	0	0	0.248931	33.628	3.13143e-05
None	0-100%	Mobile Home	Electricity	SD	Not Available	0	0	0	0	1	0.55743	7.24903e-18	0
None	0-100%	Mobile Home	Electricity	SD	Owner	0	0	1	0	0	0.164422	1.04257e-18	8.0309e-09
None	0-100%	Mobile Home	Electricity	SD	Renter	0	0	1	0	0	0.499822	2.79337e-18	6.63491e-08
None	0-100%	Mobile Home	Electricity	TN	Not Available	0	0	0	0	1	1.25639	1007.14	0
None	0-100%	Mobile Home	Electricity	TN	Owner	0	0	1	0	0	1.12814	203.004	1.65924e-05
None	0-100%	Mobile Home	Electricity	TN	Renter	0	0	1	0	0	0.384624	305.813	2.26239e-05
None	0-100%	Mobile Home	Electricity	TX	Not Available	0	0	0	0	1	0.903534	2455.93	0
None	0-100%	Mobile Home	Electricity	TX	Owner	0	0	1	0	0	0.470908	1338.85	6.24809e-05
None	0-100%	Mobile Home	Electricity	TX	Renter	0	0	1	0	0	0.222509	168.143	3.75007e-05
None	0-100%	Mobile Home	Electricity	UT	Not Available	0	0	0	0	1	1.18636	2.66327e-18	0
None	0-100%	Mobile Home	Electricity	UT	Owner	0	0	1	0	0	0.746966	2.66327e-18	2.6846e-07
None	0-100%	Mobile Home	Electricity	UT	Renter	0	0	1	0	0	6.78765e-21	6.35551e-58	0
None	0-100%	Mobile Home	Electricity	VA	Not Available	0	0	0	0	1	0.345739	6.55879e-18	0
None	0-100%	Mobile Home	Electricity	VA	Owner	0	0	1	0	0	1.09109	2.41571e-18	2.00251e-05
None	0-100%	Mobile Home	Electricity	VA	Renter	0	0	1	0	0	0.380557	1.01356e-18	1.43046e-05
None	0-100%	Mobile Home	Electricity	VT	Not Available	0	0	0	0	1	0.57825	3.809e-18	0
None	0-100%	Mobile Home	Electricity	VT	Owner	0	0	1	0	0	0.30656	1.4253e-18	0
None	0-100%	Mobile Home	Electricity	VT	Renter	0	0	1	0	0	0.224526	5.74268e-19	1.14197e-08
None	0-100%	Mobile Home	Electricity	WA	Not Available	0	0	0	0	1	0.653429	402.821	0
None	0-100%	Mobile Home	Electricity	WA	Owner	0	0	1	0	0	0.483534	295.739	2.06699e-05
None	0-100%	Mobile Home	Electricity	WA	Renter	0	0	1	0	0	0.221112	8.25619	2.14291e-05
None	0-100%	Mobile Home	Electricity	WI	Not Available	0	0	0	0	1	6.5694e-22	1.09036e-58	0
None	0-100%	Mobile Home	Electricity	WI	Owner	0	0	1	0	0	4.63722e-22	1.09036e-58	0
None	0-100%	Mobile Home	Electricity	WI	Renter	0	0	1	0	0	2.3959e-21	1.09036e-58	1.04632e-07
None	0-100%	Mobile Home	Electricity	WV	Not Available	0	0	0	0	1	1.88066	313.307	0
None	0-100%	Mobile Home	Electricity	WV	Owner	0	0	1	0	0	0.768968	123.977	1.22118e-05
None	0-100%	Mobile Home	Electricity	WV	Renter	0	0	1	0	0	0.24417	43.1123	7.52039e-06
None	0-100%	Mobile Home	Electricity	WY	Not Available	0	0	0	0	1	2.16627	1.80781e-18	0
None	0-100%	Mobile Home	Electricity	WY	Owner	0	0	1	0	0	0.73267	5.21643e-19	5.85369e-07
None	0-100%	Mobile Home	Electricity	WY	Renter	0	0	1	0	0	0.371341	3.87257e-19	0
None	0-100%	Mobile Home	Fuel Oil	AK	Not Available	0	0	0	0	1	0.943431	1.5395e-17	0
None	0-100%	Mobile Home	Fuel Oil	AK	Owner	0	0	1	0	0	0.428906	8.34068e-18	2.39457e-07
None	0-100%	Mobile Home	Fuel Oil	AK	Renter	0	0	1	0	0	0.0952105	1.0725e-18	3.00432e-07
None	0-100%	Mobile Home	Fuel Oil	AL	Not Available	0	0	0	0	1	1.80813	1.04696e-17	0
None	0-100%	Mobile Home	Fuel Oil	AL	Owner	0	0	1	0	0	0.787975	4.20678e-18	1.42347e-07
None	0-100%	Mobile Home	Fuel Oil	AL	Renter	0	0	1	0	0	0.827481	1.40335e-18	1.01043e-07
None	0-100%	Mobile Home	Fuel Oil	AR	Not Available	0	0	0	0	1	3.92397	4.65553e-18	0
None	0-100%	Mobile Home	Fuel Oil	AR	Owner	0	0	1	0	0	0.538114	1.96992e-19	5.33695e-08
None	0-100%	Mobile Home	Fuel Oil	AR	Renter	0	0	1	0	0	1.03893	2.93721e-18	3.23097e-08
None	0-100%	Mobile Home	Fuel Oil	AZ	Not Available	0	0	0	0	1	1.105	4.86884e-18	0
None	0-100%	Mobile Home	Fuel Oil	AZ	Owner	0	0	1	0	0	1.37142	2.44889e-18	6.0591e-08
None	0-100%	Mobile Home	Fuel Oil	AZ	Renter	0	0	1	0	0	0.72299	4.11719e-19	5.73134e-08
None	0-100%	Mobile Home	Fuel Oil	CA	Not Available	0	0	0	0	1	0.30362	2.78865e-18	0
None	0-100%	Mobile Home	Fuel Oil	CA	Owner	0	0	1	0	0	0.431135	1.55759e-18	4.19718e-07
None	0-100%	Mobile Home	Fuel Oil	CA	Renter	0	0	1	0	0	0.398875	1.77992e-19	5.2117e-07
None	0-100%	Mobile Home	Fuel Oil	CO	Not Available	0	0	0	0	1	2.19253	2.37019e-18	0
None	0-100%	Mobile Home	Fuel Oil	CO	Owner	0	0	1	0	0	1.05829	1.39293e-18	6.17041e-09
None	0-100%	Mobile Home	Fuel Oil	CO	Renter	0	0	1	0	0	0.189525	1.29108e-19	0
None	0-100%	Mobile Home	Fuel Oil	CT	Not Available	0	0	0	0	1	4.10305e-21	1.16069e-57	0
None	0-100%	Mobile Home	Fuel Oil	CT	Owner	0	0	1	0	0	3.55598e-21	1.16069e-57	0
None	0-100%	Mobile Home	Fuel Oil	CT	Renter	0	0	1	0	0	4.10305e-21	1.16069e-57	4.4293e-07
None	0-100%	Mobile Home	Fuel Oil	DC	Not Available	0	0	0	0	1	0.932265	4.7619e-18	0
None	0-100%	Mobile Home	Fuel Oil	DC	Owner	0	0	1	0	0	0.605972	4.7619e-18	0
None	0-100%	Mobile Home	Fuel Oil	DC	Renter	0	0	1	0	0	0.326293	4.7619e-18	0
None	0-100%	Mobile Home	Fuel Oil	DE	Not Available	0	0	0	0	1	1.46839	4.00857e-18	0
None	0-100%	Mobile Home	Fuel Oil	DE	Owner	0	0	1	0	0	0.380308	6.36435e-19	1.42494e-06
None	0-100%	Mobile Home	Fuel Oil	DE	Renter	0	0	1	0	0	0.309154	1.45051e-18	7.78034e-07
None	0-100%	Mobile Home	Fuel Oil	FL	Not Available	0	0	0	0	1	0.430404	3.38985e-18	0
None	0-100%	Mobile Home	Fuel Oil	FL	Owner	0	0	1	0	0	1.03605	1.22762e-18	2.44949e-07
None	0-100%	Mobile Home	Fuel Oil	FL	Renter	0	0	1	0	0	0.369154	5.37541e-19	1.3246e-07
None	0-100%	Mobile Home	Fuel Oil	GA	Not Available	0	0	0	0	1	0.742491	1.1007e-17	0
None	0-100%	Mobile Home	Fuel Oil	GA	Owner	0	0	1	0	0	1.8183	4.12572e-18	2.2945e-07
None	0-100%	Mobile Home	Fuel Oil	GA	Renter	0	0	1	0	0	0.620124	1.65506e-18	1.91622e-07
None	0-100%	Mobile Home	Fuel Oil	HI	Not Available	0	0	0	0	1	0.282908	4.7619e-18	0
None	0-100%	Mobile Home	Fuel Oil	HI	Owner	0	0	1	0	0	0.176817	4.7619e-18	0
None	0-100%	Mobile Home	Fuel Oil	HI	Renter	0	0	1	0	0	0.335953	4.7619e-18	2.52726e-11
None	0-100%	Mobile Home	Fuel Oil	IA	Not Available	0	0	0	0	1	0.822724	7.02176e-18	0
None	0-100%	Mobile Home	Fuel Oil	IA	Owner	0	0	1	0	0	0.639896	7.02176e-18	1.49999e-09
None	0-100%	Mobile Home	Fuel Oil	IA	Renter	0	0	1	0	0	5.46663e-21	1.48585e-58	6.7381e-09
None	0-100%	Mobile Home	Fuel Oil	ID	Not Available	0	0	0	0	1	1.7845	9.24115e-18	0
None	0-100%	Mobile Home	Fuel Oil	ID	Owner	0	0	1	0	0	2.26072	5.13203e-18	3.64071e-08
None	0-100%	Mobile Home	Fuel Oil	ID	Renter	0	0	1	0	0	0.454663	5.99892e-19	0
None	0-100%	Mobile Home	Fuel Oil	IL	Not Available	0	0	0	0	1	0.0614768	3.92812e-19	0
None	0-100%	Mobile Home	Fuel Oil	IL	Owner	0	0	1	0	0	4.92915e-22	5.06805e-59	0
None	0-100%	Mobile Home	Fuel Oil	IL	Renter	0	0	1	0	0	0.224209	3.92812e-19	5.58452e-09
None	0-100%	Mobile Home	Fuel Oil	IN	Not Available	0	0	0	0	1	0.804022	2.78544e-18	0
None	0-100%	Mobile Home	Fuel Oil	IN	Owner	0	0	1	0	0	0.567545	2.78544e-18	0
None	0-100%	Mobile Home	Fuel Oil	IN	Renter	0	0	1	0	0	1.46657e-20	6.96754e-59	9.4118e-08
None	0-100%	Mobile Home	Fuel Oil	KS	Not Available	0	0	0	0	1	0.320224	1.72281e-18	0
None	0-100%	Mobile Home	Fuel Oil	KS	Owner	0	0	1	0	0	0.249063	1.72281e-18	4.13065e-10
None	0-100%	Mobile Home	Fuel Oil	KS	Renter	0	0	1	0	0	5.7469e-21	2.65946e-58	1.56177e-08
None	0-100%	Mobile Home	Fuel Oil	KY	Not Available	0	0	0	0	1	2.41525	1.95931e-18	0
None	0-100%	Mobile Home	Fuel Oil	KY	Owner	0	0	1	0	0	1.27792	1.32727e-18	1.71384e-06
None	0-100%	Mobile Home	Fuel Oil	KY	Renter	0	0	1	0	0	0.152633	6.13468e-20	1.55256e-06
None	0-100%	Mobile Home	Fuel Oil	LA	Not Available	0	0	0	0	1	1.59614	7.33505e-18	0
None	0-100%	Mobile Home	Fuel Oil	LA	Owner	0	0	1	0	0	0.920763	4.03501e-18	0
None	0-100%	Mobile Home	Fuel Oil	LA	Renter	0	0	1	0	0	0.366492	4.89435e-19	5.97032e-08
None	0-100%	Mobile Home	Fuel Oil	MA	Not Available	0	0	0	0	1	0.262273	1.7623e-18	0
None	0-100%	Mobile Home	Fuel Oil	MA	Owner	0	0	1	0	0	0.227303	1.7623e-18	0
None	0-100%	Mobile Home	Fuel Oil	MA	Renter	0	0	1	0	0	6.73366e-21	1.16165e-57	5.63824e-07
None	0-100%	Mobile Home	Fuel Oil	MD	Not Available	0	0	0	0	1	1.94516	1.67508e-17	0
None	0-100%	Mobile Home	Fuel Oil	MD	Owner	0	0	1	0	0	0.795963	6.6387e-18	1.06994e-06
None	0-100%	Mobile Home	Fuel Oil	MD	Renter	0	0	1	0	0	0.252211	2.29888e-18	5.35296e-07
None	0-100%	Mobile Home	Fuel Oil	ME	Not Available	0	0	0	0	1	0.192589	7.90944e-19	0
None	0-100%	Mobile Home	Fuel Oil	ME	Owner	0	0	1	0	0	0.166911	7.90944e-19	0
None	0-100%	Mobile Home	Fuel Oil	ME	Renter	0	0	1	0	0	3.25951e-21	2.26561e-58	5.57595e-06
None	0-100%	Mobile Home	Fuel Oil	MI	Not Available	0	0	0	0	1	0.277219	4.73803e-18	0
None	0-100%	Mobile Home	Fuel Oil	MI	Owner	0	0	1	0	0	0.108624	1.45995e-18	0
None	0-100%	Mobile Home	Fuel Oil	MI	Renter	0	0	1	0	0	0.449811	9.37836e-19	8.27047e-08
None	0-100%	Mobile Home	Fuel Oil	MN	Not Available	0	0	0	0	1	0.556817	8.02504e-18	0
None	0-100%	Mobile Home	Fuel Oil	MN	Owner	0	0	1	0	0	0.43308	8.02504e-18	2.32829e-09
None	0-100%	Mobile Home	Fuel Oil	MN	Renter	0	0	1	0	0	3.7392e-21	1.73452e-58	1.11839e-08
None	0-100%	Mobile Home	Fuel Oil	MO	Not Available	0	0	0	0	1	0.391659	8.79609e-18	0
None	0-100%	Mobile Home	Fuel Oil	MO	Owner	0	0	1	0	0	0.488808	3.1068e-18	3.58494e-10
None	0-100%	Mobile Home	Fuel Oil	MO	Renter	0	0	1	0	0	0.619682	1.44771e-18	4.32544e-09
None	0-100%	Mobile Home	Fuel Oil	MS	Not Available	0	0	0	0	1	1.65867	1.05996e-17	0
None	0-100%	Mobile Home	Fuel Oil	MS	Owner	0	0	1	0	0	0.942952	5.78942e-18	7.07724e-08
None	0-100%	Mobile Home	Fuel Oil	MS	Renter	0	0	1	0	0	0.665898	7.2179e-19	1.21424e-07
None	0-100%	Mobile Home	Fuel Oil	MT	Not Available	0	0	0	0	1	2.77638	3.84588e-18	0
None	0-100%	Mobile Home	Fuel Oil	MT	Owner	0	0	1	0	0	0.295937	1.10221e-19	1.13206e-07
None	0-100%	Mobile Home	Fuel Oil	MT	Renter	0	0	1	0	0	0.854208	2.65395e-18	0
None	0-100%	Mobile Home	Fuel Oil	NC	Not Available	0	0	0	0	1	0.632983	6.5894e-18	0
None	0-100%	Mobile Home	Fuel Oil	NC	Owner	0	0	1	0	0	1.4624	2.54942e-18	3.5529e-06
None	0-100%	Mobile Home	Fuel Oil	NC	Renter	0	0	1	0	0	0.478521	9.41465e-19	2.76553e-06
None	0-100%	Mobile Home	Fuel Oil	ND	Not Available	0	0	0	0	1	0.350816	2.71008e-18	0
None	0-100%	Mobile Home	Fuel Oil	ND	Owner	0	0	1	0	0	0.272857	2.71008e-18	2.74668e-10
None	0-100%	Mobile Home	Fuel Oil	ND	Renter	0	0	1	0	0	1.31948e-20	1.83751e-57	2.06921e-09
None	0-100%	Mobile Home	Fuel Oil	NE	Not Available	0	0	0	0	1	0.734274	1.03524e-17	0
None	0-100%	Mobile Home	Fuel Oil	NE	Owner	0	0	1	0	0	7.04967e-21	1.57744e-57	0
None	0-100%	Mobile Home	Fuel Oil	NE	Renter	0	0	1	0	0	1.06062	1.03524e-17	0
None	0-100%	Mobile Home	Fuel Oil	NH	Not Available	0	0	0	0	1	0.270611	5.80763e-18	0
None	0-100%	Mobile Home	Fuel Oil	NH	Owner	0	0	1	0	0	0.234529	5.80763e-18	0
None	0-100%	Mobile Home	Fuel Oil	NH	Renter	0	0	1	0	0	2.69285e-21	5.75088e-58	1.78702e-06
None	0-100%	Mobile Home	Fuel Oil	NJ	Not Available	0	0	0	0	1	0.424503	2.9768e-18	0
None	0-100%	Mobile Home	Fuel Oil	NJ	Owner	0	0	1	0	0	0.208543	1.46617e-18	0
